TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
4495,1,1,44.12,99723.49,14.44,376886.28,b0,0,44.09,99707.45,14.48,414658.84,b0,0,44.87,99712.37,14.18,296983.75,b0,0,44.97,99690.55,13.86,451101.31,b0,0,44.04,99742.71,13.38,366893.59,b0,0,44.07,99751.60,13.68,390914.28,b0,0,43.35,99753.66,13.97,346414.06,b0,0,43.22,99736.84,14.06,446381.88,b0,0
5495,1,1,43.65,99733.41,14.33,2619763.25,a0,2,43.62,99714.22,14.35,2237640.00,a0,2,44.43,99724.05,14.11,1962625.75,a0,2,44.52,99699.08,13.78,3221392.00,a0,2,43.55,99748.47,13.31,3313245.75,a0,2,43.55,99760.16,13.65,1747813.12,a0,2,42.84,99760.00,13.81,1147017.62,a0,2,42.73,99747.10,13.97,1608798.12,a0,2
6495,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,1,1,44.17,99726.27,14.42,627835.69,b0,1,44.12,99711.41,14.46,628413.63,b0,1,43.65,99710.98,14.06,289674.69,b0,0,43.70,99685.79,13.74,438919.84,b0,0,42.73,99733.98,13.29,362606.22,b0,0,42.82,99753.39,13.55,380245.09,b0,0,42.07,99744.01,13.84,339860.59,b0,0,41.98,99732.06,13.89,440051.56,b0,0
8495,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9495,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10495,1,1,44.22,99730.09,14.34,535284.88,b0,1,44.16,99714.38,14.37,543380.19,b0,1,44.97,99716.60,14.12,378768.25,b0,1,45.02,99697.25,13.79,614277.12,b0,1,44.07,99748.10,13.32,522982.63,b0,1,44.10,99758.45,13.56,510468.59,b0,1,43.26,99758.02,13.83,469724.78,b0,1,43.13,99744.28,13.85,607715.12,b0,1
11495,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12495,1,1,43.82,99727.97,14.24,380245.09,b0,0,43.74,99709.09,14.27,411906.69,b0,0,44.55,99716.34,14.03,298542.28,b0,0,44.59,99695.41,13.74,451698.28,b0,0,43.64,99745.52,13.24,381307.03,b0,0,43.67,99756.72,13.49,390020.94,b0,0,42.82,99754.37,13.76,349965.81,b0,0,42.70,99740.44,13.77,454102.00,b0,0
13495,1,1,43.99,99729.52,14.15,458678.62,b0,2,43.94,99714.39,14.19,453800.13,b0,2,44.70,99720.84,13.96,312195.13,b0,2,44.75,99697.96,13.63,522982.63,b0,2,43.74,99746.79,13.17,423140.50,b0,2,43.77,99757.03,13.41,402911.66,b0,2,42.87,99758.27,13.68,390914.28,b0,2,42.78,99743.59,13.72,484389.78,b0,2
