TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
4112,1,1,31.24,71371.65,100.00,12516425.00,a0,0,32.08,70496.16,100.00,11096512.00,a0,0,31.65,75320.61,100.00,8673372.00,a0,0,30.10,76431.05,100.00,17291820.00,a0,0,30.01,84293.11,100.00,13301400.00,a0,0,30.66,80643.12,100.00,8564558.00,a0,0,31.23,74695.17,100.00,10101110.00,a0,0,30.89,79911.91,100.00,12181413.00,a0,0
5112,1,1,32.34,99706.99,22.34,12416825.00,a0,0,32.42,99688.06,22.52,10995973.00,a0,0,33.02,99691.95,21.98,8605042.00,a0,0,33.37,99669.12,21.69,17129116.00,a0,0,34.32,99729.23,19.97,13181014.00,a0,0,34.17,99739.49,20.42,8432321.00,a0,0,34.28,99740.38,20.39,9999390.00,a0,0,34.19,99730.24,20.43,11881073.00,a0,0
6112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9112,1,1,32.31,99707.23,22.40,12270361.00,a0,1,32.43,99688.48,22.54,10800264.00,a0,1,33.00,99693.48,22.00,8445361.00,a0,1,33.36,99669.25,21.72,16929992.00,a0,1,34.33,99729.01,19.97,12931334.00,a0,1,34.18,99742.27,20.42,8247672.00,a0,1,34.25,99738.73,20.39,9784413.00,a0,1,34.18,99731.80,20.44,11652916.00,a0,1
10112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11112,1,1,32.30,99707.68,22.52,11291523.00,a0,2,32.39,99690.13,22.59,10694517.00,a0,2,32.98,99693.48,22.07,8380562.50,a0,2,33.35,99671.36,21.75,16812724.00,a0,2,34.33,99729.37,19.97,12802500.00,a0,2,34.17,99742.94,20.41,8100865.50,a0,2,34.25,99741.98,20.37,9536671.00,a0,2,34.15,99731.76,20.47,11256613.00,a0,2
12112,1,1,32.64,99712.91,22.55,11085250.00,b0,3,32.41,99692.65,22.63,10611399.00,a0,3,32.98,99695.09,22.08,8354921.00,a0,3,33.34,99673.34,21.77,16761125.00,a0,3,34.34,99733.45,19.96,12765095.00,a0,3,34.21,99742.48,20.43,8076904.00,a0,3,34.26,99743.02,20.39,9586893.00,a0,3,34.27,99734.62,20.48,11245024.00,a0,3
13112,1,1,32.64,99712.20,22.57,10951872.00,b0,4,32.40,99692.19,22.71,10560103.00,a0,4,32.97,99696.24,22.16,8285208.50,a0,4,33.32,99676.23,21.87,16684318.00,a0,4,,,,,,,,,,,,,34.24,99744.67,20.45,9511756.00,a0,4,,,,,,
14112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,34.32,99730.17,20.03,12646854.00,a0,4,34.21,99744.84,20.50,7924546.50,a0,4,,,,,,,34.25,99736.40,20.54,11085250.00,a0,4
15112,1,1,32.68,99711.70,22.77,8053084.50,b0,5,32.42,99693.41,23.03,7428701.00,b0,5,32.99,99696.59,22.50,5692842.50,b0,5,33.34,99676.37,22.24,11778577.00,b0,5,,,,,,,,,,,,,,,,,,,,,,,,
16112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,34.34,99732.89,20.54,9680355.00,b0,5,34.24,99746.11,21.00,5746755.50,b0,5,34.25,99742.76,20.83,7373537.50,b0,5,34.28,99735.34,20.93,7941832.50,b0,5
17112,1,1,,,,,,,33.26,99691.38,23.36,10310887.00,a0,0,33.85,99701.56,22.87,8082881.00,a0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18112,1,1,33.27,99709.18,22.96,11628105.00,a0,0,,,,,,,,,,,,,34.17,99676.75,22.56,16274149.00,a0,0,35.04,99732.90,20.91,12353629.00,a0,0,34.96,99746.53,21.38,7805621.50,a0,0,34.97,99744.40,21.20,9293250.00,a0,0,35.01,99733.30,21.29,11029283.00,a0,0
19112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21112,1,1,,,,,,,,,,,,,33.05,99693.30,22.61,7988298.50,a0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22112,1,1,32.41,99709.27,22.78,11529909.00,a0,1,32.49,99692.52,23.03,10148033.00,a0,1,,,,,,,33.43,99675.84,22.29,16165762.00,a0,1,34.38,99732.08,20.65,12195013.00,a0,1,34.24,99744.69,21.12,7663236.50,a0,1,34.28,99741.71,20.96,9145409.00,a0,1,34.20,99733.78,21.01,10875539.00,a0,1
23112,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24112,2,1,32.30,99710.77,22.75,10642416.00,b0,2,32.39,99694.04,22.96,10119827.00,a0,2,32.94,99696.37,22.43,7947611.00,a0,2,33.30,99677.38,22.10,16129953.00,a0,2,34.28,99736.74,20.33,12134049.00,a0,2,34.13,99748.02,20.81,7489828.50,a0,2,34.22,99744.74,20.71,9024511.00,a0,2,34.09,99734.65,20.79,10580562.00,a0,2
25112,2,1,32.66,99715.76,23.10,10642416.00,b0,3,32.39,99696.05,23.20,9999390.00,a0,3,32.96,99698.10,22.67,7811204.00,a0,3,33.31,99680.99,22.49,16000000.00,a0,3,34.25,99738.44,20.50,11894011.00,a0,3,34.16,99749.10,20.94,7418610.00,a0,3,34.17,99745.12,20.77,8935915.00,a0,3,34.15,99736.24,20.84,10489117.00,b0,3
26112,2,1,32.76,99714.41,24.50,10757715.00,b0,4,32.46,99696.30,24.57,9872853.00,a0,4,33.12,99705.53,24.65,7572914.50,a0,4,33.43,99678.22,25.10,15757634.00,a0,4,,,,,,,34.18,99750.16,21.37,7438819.50,a0,4,34.19,99746.15,21.04,8921318.00,a0,4,34.18,99737.08,21.12,10379474.00,a0,4
27112,2,1,,,,,,,,,,,,,,,,,,,,,,,,,34.27,99739.63,20.98,11816805.00,a0,4,,,,,,,,,,,,,,,,,,
