Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
38618,1,1,38.60,99723.59,17.15,147720.72,b0,3,38.68,99706.67,17.24,267432.75,a0,0,39.58,99713.22,16.72,203497.61,a0,0,39.82,99693.24,16.44,192372.72,b0,2,40.32,99743.78,15.26,140659.34,b0,3,40.26,99755.09,15.60,253339.94,a0,0,40.14,99751.21,15.66,232780.17,a0,0,40.03,99742.48,15.73,307692.31,a0,0
39618,1,1,38.58,99724.41,17.19,281783.16,a0,0,38.67,99704.37,17.26,221023.09,b0,1,39.57,99715.32,16.73,145330.69,b0,1,39.77,99689.66,16.48,158122.30,b0,3,40.31,99741.40,15.28,256192.14,a0,0,40.24,99759.16,15.61,150987.91,b0,2,40.12,99754.63,15.64,148362.80,b0,2,40.01,99746.80,15.75,177162.63,b0,2
40618,1,1,38.58,99725.99,17.18,224070.02,b0,1,38.61,99705.52,17.26,145454.55,b0,3,39.49,99714.83,16.73,110083.85,b0,3,39.80,99691.62,16.47,246035.56,b0,1,40.31,99746.54,15.28,158415.84,b0,2,40.22,99754.87,15.61,254473.16,a0,0,40.12,99752.03,15.66,233576.64,a0,0,39.99,99744.91,15.75,165481.58,b0,3
41618,1,1,38.49,99725.88,17.18,149401.81,b0,3,38.57,99700.83,17.26,271906.53,a0,0,39.48,99712.80,16.73,204840.97,a0,0,39.76,99691.84,16.46,192916.36,b0,2,40.28,99744.66,15.28,141241.37,b0,3,40.24,99762.45,15.60,203376.36,b0,1,40.14,99754.34,15.65,179964.84,b0,1,40.02,99745.27,15.74,242539.08,b0,1
42618,1,1,38.46,99722.51,17.21,279475.97,a0,0,38.53,99707.05,17.28,170609.80,b0,2,39.43,99715.41,16.81,123552.13,b0,2,39.65,99688.06,16.67,285316.25,a0,0,40.31,99744.83,15.26,207581.59,b0,1,40.16,99754.80,15.61,138490.67,b0,3,40.10,99753.96,15.64,130545.64,b0,3,39.96,99745.14,15.73,165642.19,b0,3
43618,1,2,38.37,99723.92,17.46,71958280.00,a0,4,38.37,99699.86,17.52,516259.12,a0,3,39.35,99712.57,17.78,383664.28,a0,3,39.18,99691.20,18.58,583309.63,a0,3,40.20,99740.41,15.41,757116.44,a0,3,40.06,99754.48,15.70,543380.19,a0,3,39.96,99749.45,15.68,1061414.87,b0,2,39.80,99739.06,15.77,1331599.50,b0,2
44618,1,3,38.19,99723.04,17.91,13964628.00,b0,1,38.22,99701.81,17.84,11959124.00,b0,0,39.16,99712.09,19.46,7907336.00,b0,1,38.85,99690.77,21.40,13991460.00,b0,0,39.97,99744.77,15.64,15240930.00,b0,0,39.86,99757.28,15.84,11985369.00,b0,0,39.79,99752.76,15.85,10951872.00,b0,0,39.71,99743.32,15.90,29140062.00,a0,5
45618,1,3,38.16,99722.33,18.50,363830.16,a0,7,38.19,99703.43,18.38,67044500.00,a0,6,39.15,99712.98,21.16,46711332.00,a0,6,38.73,99689.13,24.83,77787536.00,a0,6,39.95,99744.91,15.88,87791024.00,a0,6,39.84,99752.66,16.08,60207624.00,a0,6,39.80,99751.52,16.03,3480034.00,a0,5,39.68,99738.93,16.11,4350504.50,a0,5
46618,1,4,38.10,99724.92,18.93,2065036.50,b0,2,38.04,99705.15,18.81,1629924.37,b0,2,38.99,99712.49,22.69,363830.16,a0,1,38.54,99689.05,28.08,363830.16,a0,1,39.83,99743.62,16.06,13350173.00,b0,0,39.74,99757.40,16.27,9775656.00,b0,0,39.63,99754.77,16.21,9077008.00,b0,0,39.59,99742.23,16.28,96093840.00,a0,9
47618,1,4,38.16,99725.05,19.12,44841600.00,a0,8,38.10,99705.81,19.09,38113404.00,a0,8,39.05,99717.70,23.81,25862668.00,a0,8,38.62,99691.09,30.70,363830.16,a0,7,39.90,99741.37,16.24,363830.16,a0,7,39.81,99756.66,16.43,724442.87,a0,7,39.69,99750.99,16.39,668407.31,a0,7,39.58,99738.13,16.44,449912.12,a0,7
48618,1,1,38.08,99719.33,19.08,147976.87,b0,3,38.04,99702.91,19.16,122050.06,b0,3,38.93,99713.82,23.97,270827.81,a0,2,38.66,99690.14,32.46,113525.50,b0,3,39.89,99743.50,16.39,524187.34,a0,2,39.77,99758.67,16.54,407724.47,a0,2,39.68,99753.51,16.47,313917.84,a0,2,39.54,99740.83,16.46,453498.66,a0,2
49618,1,1,38.22,99723.66,18.91,521384.94,a0,1,38.15,99699.14,19.06,416175.56,a0,0,39.05,99710.41,23.51,400000.00,a0,0,38.98,99689.06,33.00,400000.00,a0,0,40.04,99740.80,16.56,409927.94,a0,0,39.92,99755.94,16.57,524187.34,a0,0,39.80,99747.28,16.44,461781.28,a0,0,39.66,99737.30,16.43,685867.38,a0,0
50618,1,1,38.20,99724.48,18.74,122400.19,b0,3,38.22,99703.66,18.92,130346.23,b0,2,39.11,99713.14,22.82,125183.37,b0,1,39.13,99694.98,31.87,115915.78,b0,2,40.08,99741.98,16.63,193682.63,b0,1,39.95,99758.64,16.56,117512.05,b0,2,39.89,99754.34,16.38,190228.50,a0,1,39.73,99740.45,16.35,222318.72,b0,1
