Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-03-14 15:50:35,33874,1,1,27.62,100778.45,15.45,6400000.00,101,15,27.37,100777.23,15.63,6400000.00,101,15,28.44,100788.86,15.10,6400000.00,1110,15,28.49,100765.63,14.79,6400000.00,1110,15,29.44,100835.16,13.73,6400000.00,10100,15,29.38,100849.30,13.97,6400000.00,10100,15,29.30,100852.50,14.02,6400000.00,11000,15,29.41,100838.54,14.13,6400000.00,11000,15
2025-03-14 15:50:38,36874,1,1,26.41,100770.17,16.15,4255584.50,1001011,5,26.23,100767.81,16.36,5165195.50,1001111,6,27.15,100782.41,15.95,8445361.00,110111,1,27.32,100758.73,15.78,41557388.00,110100,0,28.79,100829.19,14.57,363830.16,1101011,7,28.72,100842.83,14.79,367552.03,1101011,7,28.71,100841.23,14.85,4457018.50,1010110,6,28.85,100830.48,14.92,7123478.50,1010101,6
2025-03-14 15:50:41,39874,1,1,26.49,100771.48,16.06,3858690.50,1001011,5,26.33,100768.91,16.29,4638731.50,1001111,5,27.45,100783.95,15.88,5373565.00,1101100,9,27.64,100760.16,15.66,40705592.00,110100,0,29.22,100828.61,14.43,864499.81,1010111,5,29.12,100842.40,14.62,803925.44,1010111,5,29.22,100842.77,14.67,304399.53,1100100,5,29.35,100828.11,14.75,469079.25,1100010,5
2025-03-14 15:50:44,42874,1,1,26.47,100768.84,15.95,2762900.50,1001011,5,26.36,100770.52,16.17,3834308.50,1001111,5,27.60,100781.49,15.76,21816246.00,110111,0,27.80,100761.96,15.52,479962.50,1101010,9,29.36,100830.24,14.21,705720.19,1010111,5,29.20,100840.27,14.43,700650.00,1010111,6,29.36,100843.87,14.46,325285.91,1100100,5,29.48,100830.78,14.52,505180.06,1100010,5
2025-03-14 15:50:47,45874,1,1,26.54,100772.61,15.88,2141139.50,1001011,5,26.42,100768.91,16.10,2357410.00,1001111,5,27.72,100781.29,15.64,21947756.00,110111,0,27.91,100761.84,15.40,42694464.00,110100,0,29.37,100827.08,14.05,769490.88,1010111,6,29.31,100844.18,14.27,769057.44,1010111,5,29.48,100847.16,14.28,136496.94,1110010,4,29.59,100833.73,14.35,212096.11,1110000,4
2025-03-14 15:50:50,48874,1,1,26.61,100774.38,15.83,1600000.00,1001011,5,26.50,100770.14,16.06,1562762.25,1001111,5,27.74,100781.12,15.54,110870.51,1101100,9,27.97,100760.41,15.29,170780.52,1101010,9,29.50,100831.53,13.93,821829.87,1010111,5,29.35,100844.63,14.15,809166.31,1010111,6,29.49,100843.87,14.13,358041.97,1100100,5,29.62,100828.27,14.23,572546.81,1100010,5
2025-03-14 15:50:53,51874,1,1,26.67,100776.68,15.79,947928.75,1001011,5,26.54,100772.15,16.00,1074783.50,1001111,5,27.79,100782.37,15.47,23659206.00,110111,0,27.98,100764.04,15.22,182076.81,1101010,9,29.45,100830.48,13.81,871118.69,1010111,6,29.41,100847.72,14.04,852090.69,1010111,5,29.47,100847.41,14.02,383018.50,1100100,5,29.62,100833.45,14.08,597607.25,1100010,5
2025-03-14 15:50:56,54874,1,1,26.72,100775.57,15.74,600234.44,1001011,5,26.58,100771.50,15.94,684492.00,1001111,5,27.81,100782.98,15.39,25600000.00,110111,0,28.03,100763.80,15.14,66635484.00,110100,0,29.56,100833.09,13.73,917974.00,1010111,5,29.39,100844.59,13.97,893347.87,1010111,6,29.55,100849.45,13.93,152335.61,1110010,4,29.69,100834.46,14.01,239812.64,1110000,4
2025-03-14 15:50:59,57874,1,1,26.71,100773.01,15.67,528652.56,1001011,5,26.57,100768.59,15.87,612623.37,1001111,5,27.77,100779.18,15.32,127712.65,1101100,9,28.01,100760.36,15.07,204718.11,1101010,9,29.56,100824.72,13.67,949246.81,1010111,6,29.50,100842.10,13.91,937514.31,1010111,5,29.57,100842.40,13.85,408945.69,1100100,5,29.72,100825.98,13.95,640801.00,1100010,5
2025-03-14 15:51:02,60874,1,1,26.72,100772.30,15.64,474953.62,1001011,5,26.57,100765.10,15.84,575442.56,1001111,5,27.82,100779.81,15.28,25600000.00,110111,0,28.06,100762.74,15.03,73968400.00,110100,0,29.62,100829.46,13.63,983433.37,1010111,5,29.48,100841.07,13.86,962632.19,1010111,6,29.59,100841.34,13.80,420793.09,1100100,5,29.76,100825.77,13.90,661926.31,1100010,5
