Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-03-12 15:25:52,77074,1,1,19.38,101216.02,17.93,6400000.00,101,15,19.48,101212.74,18.02,6400000.00,101,15,19.57,101222.99,18.55,6400000.00,1110,15,20.00,101201.15,18.22,6400000.00,1110,15,20.70,101280.76,17.57,6400000.00,10100,15,20.44,101295.98,17.84,6400000.00,10100,15,20.55,101295.77,17.55,6400000.00,11000,15,20.73,101283.57,17.80,6400000.00,11000,15
2025-03-12 15:25:55,80074,1,1,21.70,101209.41,12.88,171294.75,1001011,6,21.73,101212.74,12.95,121788.77,1001111,6,21.89,101220.21,13.17,96676.73,110111,1,22.22,101196.46,12.84,202411.55,110100,1,23.04,101274.70,12.15,22739.38,1101011,7,22.77,101292.45,12.42,9738.28,1101011,7,22.88,101288.81,12.35,78263.53,1010110,6,22.91,101276.41,12.50,116628.70,1010101,6
2025-03-12 15:25:58,83074,1,1,21.89,101207.60,12.75,148621.19,1001011,5,21.94,101212.30,12.84,97282.92,1001111,6,22.32,101219.48,13.04,149532.70,110111,0,22.65,101199.22,12.70,142897.02,1101010,9,23.56,101277.34,12.00,32364.10,1010111,5,23.27,101296.98,12.27,17669.79,1010111,5,23.50,101291.37,12.20,9650.18,1100100,5,23.50,101277.27,12.34,15421.69,1100010,5
2025-03-12 15:26:01,86074,1,1,22.02,101209.20,12.61,128000.00,1001011,5,22.06,101211.77,12.68,89229.70,1001111,5,22.58,101218.62,12.90,147465.44,110111,0,22.94,101197.85,12.53,400000.00,110100,0,23.74,101274.33,11.80,22832.68,1010111,6,23.44,101295.14,12.05,12864.32,1010111,6,23.72,101293.71,11.98,8776.74,1100100,5,23.71,101274.43,12.14,14811.39,1100010,5
2025-03-12 15:26:04,89074,1,1,22.12,101210.90,12.48,106711.13,1001011,5,22.17,101209.73,12.55,72051.79,1001111,5,22.76,101223.31,12.73,5684.85,1101100,9,23.10,101199.63,12.37,9461.86,1101010,9,23.97,101279.90,11.62,24758.22,1010111,5,23.60,101298.56,11.86,14238.04,1010111,6,23.87,101294.40,11.75,9580.84,1100100,5,23.90,101279.26,11.93,9248.55,1110000,4
2025-03-12 15:26:07,92074,1,1,22.23,101211.13,12.36,88581.31,1001011,5,22.29,101211.00,12.44,44802.24,1001111,6,22.90,101224.30,12.59,103476.15,110111,0,23.25,101202.41,12.21,348892.69,110100,0,24.03,101277.02,11.43,28609.75,1010111,6,23.77,101299.94,11.70,16597.51,1010111,5,23.99,101292.90,11.56,10423.45,1100100,5,24.01,101276.99,11.74,18790.37,1100010,5
2025-03-12 15:26:10,95074,1,1,22.34,101211.15,12.28,60377.36,1001011,5,22.39,101210.11,12.34,34650.79,1001111,5,23.00,101221.85,12.47,113980.41,110111,0,23.33,101202.55,12.09,10243.28,1101010,9,24.15,101275.74,11.30,33169.21,1010111,6,23.83,101295.62,11.56,19458.80,1010111,6,24.15,101297.45,11.44,6783.97,1110010,4,24.12,101277.84,11.60,21136.06,1100010,5
2025-03-12 15:26:13,98074,1,1,22.42,101209.37,12.18,41775.46,1001011,5,22.48,101211.56,12.25,27153.16,1001111,5,23.07,101222.19,12.32,128192.29,110111,0,23.43,101200.76,11.96,400000.00,110100,0,24.31,101279.12,11.15,38016.04,1010111,5,23.96,101298.09,11.42,22495.61,1010111,5,24.21,101296.79,11.30,13389.12,1100100,5,24.25,101280.54,11.46,13133.59,1110000,4
2025-03-12 15:26:16,101074,1,1,22.51,101211.69,12.08,35486.55,1001011,5,22.58,101213.18,12.12,24060.15,1001111,6,23.15,101220.81,12.20,139281.83,110111,0,23.49,101199.98,11.84,13751.61,1101010,9,24.34,101274.16,11.01,43214.04,1010111,6,24.01,101298.26,11.29,26364.57,1010111,6,24.32,101296.82,11.15,14831.98,1100100,5,24.32,101278.64,11.31,26694.47,1100010,5
2025-03-12 15:26:19,104074,1,1,22.58,101206.33,11.98,32512.06,1001011,5,22.65,101208.90,12.04,21940.35,1001111,5,23.23,101216.34,12.10,155670.42,110111,0,23.58,101197.73,11.72,388025.78,110100,0,24.51,101275.70,10.91,49202.38,1010111,5,24.10,101294.51,11.17,29871.64,1010111,6,24.43,101291.64,11.04,16343.21,1100100,5,24.42,101275.20,11.18,29499.88,1100010,5
