Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-01-31 13:11:31,27656,1,1,25.02,100302.70,16.33,400000.00,160,8,25.09,100291.11,16.30,324358.56,160,0,25.93,100301.26,15.92,20277228.00,160,0,26.33,100292.91,15.65,191401.88,176,7,27.51,100357.67,14.33,222608.70,176,9,27.11,100380.20,14.86,163109.27,176,9,27.60,100372.78,14.71,800000.00,160,1,27.41,100355.03,14.97,1169617.37,176,0
2025-01-31 13:11:32,28656,1,1,25.01,100302.16,16.36,360309.66,160,8,25.09,100289.25,16.34,303587.31,160,0,25.88,100300.72,15.93,111741.59,176,8,26.29,100288.28,15.66,1700996.62,176,5,27.52,100357.09,14.32,919829.31,176,6,27.09,100377.19,14.88,670376.44,176,6,27.57,100369.90,14.74,2319365.75,176,7,27.35,100354.80,15.00,1175660.12,176,6
2025-01-31 13:11:33,29656,1,1,25.04,100308.16,16.39,337174.84,160,7,25.09,100291.62,16.34,284602.56,160,0,25.90,100303.55,15.93,363830.16,160,6,26.31,100290.46,15.66,1703118.50,176,3,27.62,100364.94,14.32,4023575.75,176,2,27.18,100382.67,14.88,2822880.75,176,2,27.57,100380.22,14.72,109659.45,176,4,27.36,100356.34,15.02,517825.53,160,3
2025-01-31 13:11:34,30656,1,1,25.04,100309.33,16.38,315076.94,160,7,25.10,100294.61,16.35,264736.31,160,0,25.91,100307.84,15.91,874466.25,176,4,26.32,100292.23,15.64,45829372.00,160,0,27.51,100361.20,14.28,222753.97,176,9,27.10,100382.82,14.83,164207.83,176,9,27.61,100374.20,14.71,742567.06,176,0,27.45,100359.37,14.99,4000000.00,176,9
2025-01-31 13:11:35,31656,1,1,25.05,100309.09,16.39,295953.75,160,7,25.10,100293.63,16.35,248543.69,160,0,25.94,100309.25,15.92,7918801.50,176,1,26.29,100292.72,15.63,194787.91,176,8,27.60,100365.92,14.27,927956.50,176,5,27.13,100382.64,14.83,670376.44,176,6,27.57,100372.87,14.68,740955.13,176,6,27.37,100358.83,14.97,448140.03,176,5
2025-01-31 13:11:36,32656,1,1,25.05,100309.10,16.36,595521.94,160,6,25.10,100296.97,16.34,238805.97,160,9,25.91,100308.20,15.90,112924.57,176,9,26.30,100293.38,15.62,363830.16,160,6,27.63,100369.94,14.25,4041440.50,176,2,27.20,100388.45,14.81,2840499.25,176,2,27.62,100378.22,14.65,267014.34,176,2,27.45,100361.19,14.96,1130866.87,160,1
2025-01-31 13:11:37,33656,1,1,25.05,100311.37,16.35,581818.19,160,6,25.11,100296.46,16.30,221453.28,160,9,25.89,100306.77,15.89,112775.33,176,8,26.30,100295.38,15.61,1722455.87,176,4,27.58,100370.02,14.23,223776.22,176,8,27.13,100384.95,14.78,160955.67,176,8,27.63,100376.96,14.63,8618622.00,176,8,27.42,100360.36,14.92,4053439.00,176,7
2025-01-31 13:11:38,34656,1,1,25.06,100310.96,16.33,582811.63,160,6,25.11,100293.35,16.30,176612.62,160,9,25.91,100306.45,15.88,881808.38,176,5,26.32,100290.20,15.61,2339234.75,160,2,27.61,100366.09,14.22,931756.12,176,5,27.18,100385.70,14.77,671035.38,176,5,27.55,100377.00,14.57,271474.03,176,5,27.42,100363.77,14.88,175884.58,176,4
2025-01-31 13:11:39,35656,1,1,25.07,100307.09,16.32,585310.06,160,5,25.13,100293.36,16.30,165481.58,160,9,25.95,100304.09,15.88,883520.25,176,3,26.35,100289.48,15.65,46022472.00,176,0,27.63,100359.91,14.23,363830.16,160,1,27.23,100383.04,14.78,2840499.25,176,2,27.65,100374.22,14.59,800000.00,160,1,27.45,100357.84,14.89,1177688.37,176,0
2025-01-31 13:11:40,36656,1,1,25.08,100304.45,16.33,585310.06,160,5,25.15,100292.59,16.32,153018.53,160,9,25.97,100306.64,15.91,8000000.00,176,1,26.33,100289.95,15.66,195233.56,176,8,27.57,100356.28,14.25,363830.16,160,7,27.15,100381.26,14.77,161107.61,176,8,27.63,100372.55,14.60,2357410.00,176,7,27.40,100354.46,14.87,1184842.37,176,6
