Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-03-19 17:53:08,93669,1,1,28.49,99917.70,29.30,1690466.37,110011,3,28.47,99905.18,29.50,1693611.75,1001111,4,29.26,99923.34,28.99,97393.95,1101100,8,29.52,99901.80,28.84,159451.89,1101010,8,29.81,99969.45,27.90,406752.72,1010111,6,29.60,99983.76,28.42,296210.59,1010111,6,29.60,99977.91,28.77,649952.38,1110010,3,29.60,99971.95,29.05,103727.71,1110000,4
2025-03-19 17:53:17,102669,1,1,28.78,99914.08,28.68,1672860.87,110011,3,28.77,99905.58,28.83,503689.12,1001111,4,29.63,99927.20,28.04,59534.88,1101100,7,29.88,99898.83,27.86,363830.16,1101010,6,30.34,99970.75,26.72,773413.88,1010111,4,30.13,99986.04,27.31,1014112.38,1010111,4,30.10,99984.73,27.45,166938.38,1100100,2,30.05,99968.02,27.81,278563.66,1100010,2
2025-03-19 17:53:26,111669,1,1,29.02,99915.45,28.25,1683172.37,110011,3,29.02,99907.81,28.37,306311.69,1001111,4,29.82,99919.29,27.54,68139.48,1101100,8,30.10,99897.34,27.35,363830.16,1101010,6,30.62,99971.85,26.10,872231.69,1010111,4,30.35,99982.55,26.69,440904.19,1010111,5,30.41,99983.77,26.80,187066.13,1100100,2,30.40,99971.23,27.13,316537.88,1100010,2
2025-03-19 17:53:35,120669,1,1,29.28,99916.38,27.96,2239475.00,110011,2,29.24,99910.33,28.08,1559193.00,110110,3,30.04,99919.45,27.25,363830.16,1101100,6,30.29,99898.01,27.08,363830.16,1101010,6,30.83,99965.15,25.77,597084.56,1010111,5,30.69,99984.56,26.37,1368984.00,1010111,4,30.71,99988.28,26.45,207581.59,1100100,2,30.67,99964.00,26.75,895104.88,1100010,1
2025-03-19 17:53:44,129669,1,1,29.45,99915.59,27.67,1791384.25,110011,3,29.43,99908.59,27.80,327470.41,1001111,4,30.20,99919.55,26.96,80402.01,1101100,8,30.47,99898.98,26.82,363830.16,1101010,6,31.12,99968.79,25.41,1106130.12,1010111,4,30.86,99982.69,25.98,539515.25,1010111,5,30.90,99978.93,26.12,224070.02,1100100,2,30.90,99967.58,26.38,379399.78,1100010,2
2025-03-19 17:53:53,38669,1,1,29.61,99914.37,27.43,1876317.00,110011,3,29.60,99914.0,27.55,1720285.62,110110,3,30.40,99920.77,26.71,363830.16,1101100,6,30.64,99899.63,26.56,363830.16,1101010,6,31.35,99969.45,25.24,1174648.75,1010111,4,31.14,99982.44,25.79,1600000.00,1010111,4,31.10,99980.66,25.95,237146.83,1100100,2,31.12,99968.35,26.22,402911.66,1100010,2
2025-03-19 17:54:02,147669,1,1,29.79,99917.36,27.25,2511342.75,110011,2,29.75,99908.87,27.38,352495.69,1001111,4,30.56,99923.49,26.55,89510.49,1101100,8,30.83,99900.82,26.40,159601.00,1101010,7,31.54,99970.94,25.05,1216513.25,1010111,4,31.28,99985.90,25.61,612074.12,1010111,5,31.31,99979.45,25.83,247104.25,1100100,2,31.31,99964.72,26.07,421833.16,1100010,2
2025-03-19 17:54:11,156669,1,1,29.92,99913.38,27.17,2037304.12,110011,3,29.91,99909.53,27.31,1877607.12,110110,3,30.73,99921.55,26.46,363830.16,1101100,6,30.98,99898.69,26.36,363830.16,1101010,6,31.65,99969.02,24.99,713837.56,1010111,5,31.53,99985.77,25.55,1600000.00,1010111,4,31.45,99979.71,25.73,257545.27,1100100,2,31.45,99963.67,25.99,437233.12,1100010,2
2025-03-19 17:54:20,165669,1,1,30.11,99915.95,27.15,2091930.50,110011,3,30.10,99907.46,27.27,397053.13,1001111,4,30.91,99927.34,26.49,97672.64,1101100,7,31.12,99895.13,26.36,363830.16,1101010,6,31.84,99965.10,25.00,363830.16,1101011,3,31.69,99985.64,25.54,1600000.00,1010111,4,31.59,99979.27,25.67,265147.59,1100100,2,31.61,99965.70,25.93,452296.81,1100010,2
2025-03-19 17:54:29,174669,1,1,30.28,99916.75,26.87,2735225.50,110011,2,30.23,99906.50,26.97,2019226.00,110110,3,31.03,99921.62,26.26,100727.91,1101100,8,31.32,99901.75,26.13,173559.33,1101010,7,31.97,99968.11,24.96,743375.69,1010111,5,31.80,99984.96,25.51,675016.50,1010111,5,31.75,99978.27,25.63,272340.44,1100100,2,31.77,99967.12,25.86,463978.25,1100010,2
