Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-03-14 14:22:14,59514,1,1,25.57,100903.58,15.29,6400000.00,101,15,25.67,100901.95,15.21,6400000.00,101,15,26.06,100918.47,14.95,6400000.00,1110,15,26.44,100894.41,14.65,6400000.00,1110,15,27.18,100959.91,13.29,6400000.00,10100,15,26.77,100981.90,13.75,6400000.00,10100,15,27.00,100977.75,13.45,6400000.00,11000,15,26.76,100964.48,13.74,6400000.00,11000,15
2025-03-14 14:22:17,62514,1,1,24.74,100899.45,16.48,25600000.00,1001011,5,24.89,100897.74,16.47,22583046.00,1001111,6,25.21,100910.99,16.41,24595984.00,110111,1,25.65,100887.59,16.16,57211696.00,110100,1,26.72,100960.74,14.96,2185699.00,1101011,7,26.31,100978.91,15.36,481316.09,1101011,7,26.51,100971.20,15.21,11361997.00,1010110,6,26.35,100957.85,15.45,18602328.00,1010101,6
2025-03-14 14:22:20,65514,1,1,24.89,100899.61,16.39,21368112.00,1001011,5,25.06,100900.70,16.36,19360710.00,1001111,5,25.58,100910.70,16.32,15814672.00,1101100,9,26.05,100888.30,16.04,32283744.00,1101010,9,27.24,100962.48,14.78,2235807.75,1010111,5,26.80,100983.02,15.19,1282806.12,1010111,5,27.11,100974.03,15.05,541655.62,1100100,5,26.94,100961.09,15.29,826806.62,1100010,5
2025-03-14 14:22:23,68514,1,1,24.92,100898.37,16.28,11985369.00,1001011,5,25.11,100900.49,16.25,10642416.00,1001111,6,25.75,100911.21,16.15,72196088.00,110111,0,26.23,100890.67,15.85,1172631.00,1101010,9,27.37,100964.29,14.57,1700996.62,1010111,5,26.85,100977.73,14.97,1116989.37,1010111,6,27.22,100976.22,14.80,555314.56,1100100,5,27.04,100961.70,15.04,873347.56,1100010,5
2025-03-14 14:22:26,71514,1,1,25.01,100901.79,16.17,9586893.00,1001011,5,25.21,100902.37,16.14,7701057.50,1001111,5,25.89,100911.95,15.99,67667528.00,110111,0,26.38,100891.41,15.69,102400000.00,110100,0,27.44,100961.84,14.37,1772776.50,1010111,6,27.02,100979.71,14.79,1199414.37,1010111,5,27.39,100984.76,14.60,217225.28,1110010,4,27.18,100964.30,14.84,335517.69,1110000,4
2025-03-14 14:22:29,74514,1,1,25.06,100901.96,16.08,6427618.50,1001011,5,25.26,100898.88,16.06,5882944.50,1001111,5,25.94,100911.95,15.87,66993100.00,110111,0,26.42,100890.71,15.55,322824.72,1101010,9,27.56,100962.90,14.21,1821253.88,1010111,5,27.03,100978.18,14.63,1264978.37,1010111,6,27.41,100979.16,14.42,591394.75,1100100,5,27.22,100963.48,14.68,939449.56,1100010,5
2025-03-14 14:22:32,77514,1,1,25.18,100902.52,16.03,4282279.00,1001011,5,25.36,100897.14,15.99,3527233.50,1001111,5,26.03,100913.73,15.78,186046.52,1101100,9,26.54,100890.43,15.47,102400000.00,110100,0,27.61,100963.25,14.10,1854652.50,1010111,6,27.21,100982.27,14.53,1285221.25,1010111,5,27.52,100978.20,14.30,603951.62,1100100,5,27.36,100962.63,14.56,955223.87,1100010,5
2025-03-14 14:22:35,80514,3,1,25.45,100905.45,17.26,2417945.75,1001011,5,25.59,100901.59,17.04,2020720.25,1001111,6,26.27,100909.16,18.02,61348936.00,110111,0,26.70,100887.37,18.66,318012.44,1101010,9,27.85,100963.48,15.03,1818827.75,1010111,5,27.37,100978.68,15.71,1276808.00,1010111,6,27.72,100976.70,15.27,592935.75,1100100,5,27.62,100964.55,15.45,348536.41,1110000,4
2025-03-14 14:22:38,83514,3,1,25.65,100903.05,18.88,1850881.12,1001011,5,25.75,100900.68,18.47,1626042.12,1001111,5,26.41,100909.13,19.73,47524292.00,110111,0,26.84,100885.75,20.34,102400000.00,110100,0,27.90,100960.84,16.08,1820040.00,1010111,6,27.57,100980.94,16.75,1287645.37,1010111,5,27.87,100976.81,16.25,223629.61,1110010,4,27.73,100961.61,16.42,940744.13,1100010,5
2025-03-14 14:22:41,86514,3,1,25.71,100907.07,19.02,1543330.87,1001011,5,25.80,100899.78,18.69,1366244.12,1001111,5,26.44,100911.84,19.54,182857.14,1101100,9,26.84,100887.05,19.78,327156.56,1101010,9,27.98,100966.55,15.93,1858439.25,1010111,5,27.55,100976.65,16.56,1322570.25,1010111,6,27.80,100975.88,16.09,606096.50,1100100,5,27.73,100962.66,16.26,972228.81,1100010,5
