Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-03-14 15:04:31,26991,1,1,29.44,100842.87,18.45,6400000.00,101,15,29.19,100841.16,18.57,6400000.00,101,15,30.13,100854.05,18.03,6400000.00,1110,15,30.21,100829.33,17.27,6400000.00,1110,15,30.39,100900.88,16.65,6400000.00,10100,15,30.31,100919.24,17.08,6400000.00,10100,15,29.90,100915.98,17.48,6400000.00,11000,15,30.00,100900.46,18.26,6400000.00,11000,15
2025-03-14 15:04:34,29991,1,1,27.78,100826.28,15.78,6400000.00,1001011,5,27.58,100824.63,16.00,6400000.00,1001111,6,28.62,100845.57,15.62,13574151.00,110111,1,28.78,100816.38,15.35,79921952.00,110100,0,29.59,100888.43,14.59,363830.16,1101011,7,29.63,100905.13,14.80,474293.66,1101011,7,29.29,100907.89,15.14,6261800.00,1010110,6,29.50,100888.56,15.29,9261730.00,1010101,6
2025-03-14 15:04:37,32991,1,1,27.98,100828.44,15.64,6400000.00,1001011,5,27.79,100826.37,15.85,6400000.00,1001111,5,28.97,100841.13,15.48,7557195.50,1101100,9,29.11,100818.41,15.19,77856848.00,110100,0,30.01,100890.55,14.37,1142219.75,1010111,5,30.05,100907.24,14.58,1015621.12,1010111,5,29.75,100903.02,14.85,385832.72,1100100,5,29.95,100891.18,15.01,580334.38,1100010,5
2025-03-14 15:04:40,35991,1,1,27.97,100831.33,15.48,5979562.00,1001011,5,27.79,100827.74,15.71,6400000.00,1001111,5,29.10,100838.45,15.28,28127038.00,110111,0,29.26,100818.62,15.03,589861.75,1101010,9,30.16,100891.59,14.16,902202.63,1010111,5,30.18,100909.98,14.38,886964.06,1010111,5,29.91,100910.42,14.62,156670.75,1110010,4,30.08,100892.67,14.76,631903.75,1100010,5
2025-03-14 15:04:43,38991,1,1,28.00,100832.23,15.35,4322955.00,1001011,5,27.83,100829.24,15.57,4268890.00,1001111,5,29.19,100840.52,15.11,150854.45,1101100,9,29.35,100816.37,14.83,243751.48,1101010,9,30.16,100890.47,13.94,983433.37,1010111,6,30.24,100909.57,14.15,967406.69,1010111,5,29.91,100906.09,14.39,435837.41,1100100,5,30.18,100895.54,14.51,256770.31,1110000,4
2025-03-14 15:04:46,41991,5,1,28.07,100830.09,15.47,2415806.50,1001011,5,27.90,100827.17,15.62,2459321.50,1001111,5,29.22,100839.83,15.15,28643356.00,110111,0,29.35,100813.65,15.00,82331656.00,110100,0,30.20,100889.27,14.08,1024000.00,1010111,5,30.25,100906.55,14.26,997807.56,1010111,5,29.93,100902.45,14.47,445507.94,1100100,5,30.15,100885.34,14.65,687248.31,1100010,5
2025-03-14 15:04:49,44991,5,1,28.04,100837.34,16.79,1575990.75,1001011,5,27.98,100831.54,17.09,1556526.75,1001111,5,29.13,100844.19,16.46,28054794.00,110111,0,29.30,100823.14,17.01,212096.11,1101010,9,30.11,100891.31,15.97,999268.12,1010111,6,30.15,100909.58,16.11,969467.44,1010111,6,29.97,100914.73,16.19,167758.84,1110010,4,30.14,100890.35,16.61,667101.00,1100010,5
2025-03-14 15:04:52,47991,5,1,28.24,100840.97,19.76,948587.31,1001011,5,28.12,100833.97,20.07,1008867.00,1001111,5,29.21,100845.83,19.36,130745.66,1101100,9,29.37,100823.99,20.30,199687.98,1101010,9,30.21,100898.59,19.34,901606.87,1010111,5,30.22,100914.74,19.26,904593.62,1010111,5,29.97,100912.72,19.84,402436.62,1100100,5,30.21,100898.27,19.62,243057.20,1110000,4
2025-03-14 15:04:55,50991,5,1,28.32,100835.91,23.04,733787.19,1001011,5,28.24,100832.17,23.42,781381.13,1001111,5,29.25,100843.50,22.63,24568322.00,110111,0,29.43,100815.55,23.80,68732040.00,110100,0,30.23,100893.71,22.83,819855.88,1010111,5,30.17,100907.75,22.68,841586.19,1010111,6,30.00,100905.38,23.73,368080.53,1100100,5,30.15,100890.48,22.97,583808.44,1100010,5
2025-03-14 15:04:58,53991,5,1,28.39,100837.59,26.22,604486.44,1001011,5,28.34,100834.22,26.59,652437.06,1001111,5,29.26,100844.03,25.77,118244.80,1101100,9,29.44,100817.90,27.04,174803.69,1101010,9,30.19,100893.04,26.37,767328.56,1010111,6,30.21,100910.48,26.12,794106.25,1010111,5,30.07,100914.36,27.37,137486.58,1110010,4,30.17,100891.58,26.36,549946.31,1100010,5
