TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
160934,1,1,40.25,99747.31,17.44,1115164.75,b0,3,40.25,99731.92,17.56,911843.25,b0,3,41.08,99737.78,17.15,732213.06,b0,3,41.20,99716.20,16.92,1244228.37,b0,3,39.83,99770.13,16.29,1066389.00,b0,2,40.89,99781.35,16.52,692828.13,b0,3,40.41,99779.55,16.86,824310.75,b0,3,40.46,99767.17,16.83,1031738.06,b0,3
161934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166934,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
168832,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46,99780.38,16.45,928587.62,b0,2,,,,,,
170724,1,1,39.35,99748.09,16.96,1231879.75,b0,2,40.32,99732.04,17.07,952558.13,b0,3,41.19,99739.23,16.64,748264.50,b0,3,41.28,99717.20,16.42,1286432.12,b0,3,39.88,99768.43,15.87,1102557.25,b0,2,39.96,99785.95,16.13,789971.06,a0,2,,,,,,,40.61,99773.02,16.45,1021701.19,b0,3
171724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176724,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177724,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179620,1,3,39.28,99762.40,22.76,2345262.00,b0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180620,1,3,38.30,99744.80,23.16,363830.16,a0,3,,,,,,,40.20,99740.73,21.38,12242854.00,b0,0,,,,,,,38.83,99773.50,16.39,532778.37,b0,5,,,,,,,38.61,99788.63,16.42,11469373.00,b0,0,38.74,99773.60,16.56,570155.87,a0,7
181620,1,3,38.17,99745.57,23.06,363830.16,a0,3,38.46,99736.13,23.26,458987.00,b0,5,39.03,99743.74,21.06,363830.16,a0,7,39.32,99725.16,23.87,2834602.00,b0,2,38.57,99772.99,16.52,497812.34,b0,5,39.28,99784.98,17.09,84155376.00,a0,6,38.06,99778.53,16.49,363830.16,a0,1,38.17,99773.81,16.60,12509257.00,b0,0
182620,1,3,38.16,99753.71,23.16,800000.00,a0,4,38.10,99733.70,23.27,18383170.00,a0,6,38.74,99747.27,21.22,7077322.00,b0,0,38.82,99714.98,23.96,363830.16,a0,3,38.50,99779.13,17.29,460846.09,b0,5,38.67,99786.59,17.62,363830.16,a0,7,38.02,99786.03,16.97,1417301.00,b0,2,38.07,99771.43,17.10,373177.84,a0,1
183620,1,3,38.14,99755.90,23.39,421052.62,b0,5,38.04,99737.75,23.50,363830.16,a0,7,38.66,99742.20,21.63,363830.16,a0,1,38.77,99715.13,24.64,363830.16,a0,3,38.37,99777.24,17.94,738550.31,a0,6,38.50,99784.58,18.21,723674.94,a0,7,37.94,99779.74,17.47,713837.56,a0,3,38.02,99778.15,17.64,1698880.12,b0,2
184620,1,3,38.11,99753.66,23.64,398909.22,b0,5,38.01,99735.33,23.88,363830.16,a0,7,38.64,99747.88,21.93,998537.31,b0,2,38.79,99724.44,25.51,738550.31,a0,4,38.34,99776.94,18.07,363830.16,a0,7,38.43,99787.98,18.37,7469341.00,b0,0,37.92,99780.17,17.65,675684.56,a0,3,37.97,99768.90,17.84,743375.69,a0,3
185620,1,4,38.07,99753.90,23.72,44980096.00,a0,9,37.96,99738.82,24.20,47627908.00,a0,9,38.57,99746.19,21.95,39455748.00,a0,9,38.69,99724.17,26.33,74599888.00,a0,9,38.29,99780.08,18.04,70964808.00,a0,9,38.34,99792.90,18.35,51848100.00,a0,9,37.94,99787.63,17.69,50646060.00,a0,8,37.98,99777.67,17.84,64235236.00,a0,8
