Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-01-13 13:43:04,7061781,1,0,26.13,99854.01,18.09,122137.41,160,9,26.21,99842.59,18.17,137708.45,160,9,27.12,99856.16,17.55,1091102.88,176,3,27.45,99840.72,17.26,2241313.25,176,4,28.90,99917.12,15.60,363830.16,160,7,28.73,99938.76,15.93,3399875.50,176,2,28.97,99927.54,15.84,321608.03,176,2,28.95,99909.02,15.97,1208972.87,160,1
2025-01-13 13:43:05,7062781,1,0,26.10,99854.47,18.08,122664.11,160,9,26.17,99841.73,18.14,137708.45,160,9,27.11,99860.03,17.52,12855237.00,176,1,27.43,99839.76,17.23,6400000.00,160,2,28.98,99921.16,15.59,1346040.12,160,4,28.63,99938.30,15.91,172332.55,176,8,28.97,99926.27,15.82,3265696.75,176,9,28.87,99907.97,15.93,1204705.87,176,6
2025-01-13 13:43:06,7063781,1,0,26.11,99854.59,18.06,123195.38,160,8,26.18,99841.44,18.11,138154.34,160,9,27.08,99857.63,17.50,127617.15,176,9,27.42,99841.37,17.20,235186.03,176,9,28.90,99917.48,15.57,25485514.00,176,0,28.69,99938.05,15.90,721380.75,176,5,28.91,99924.38,15.80,334203.66,176,5,28.92,99911.79,15.92,505554.19,160,3
2025-01-13 13:43:07,7064781,1,0,26.10,99854.47,18.03,123552.13,160,8,26.19,99844.22,18.08,138828.64,160,9,27.11,99863.78,17.48,126669.97,176,7,27.39,99838.49,17.19,235024.09,176,8,28.91,99915.78,15.54,363830.16,160,7,28.72,99934.77,15.90,412155.38,160,1,29.02,99924.87,15.81,800000.00,160,1,28.98,99912.85,15.92,4212908.00,176,9
2025-01-13 13:43:08,7065781,1,0,26.07,99858.57,18.01,123641.63,160,8,26.16,99841.54,18.07,138941.66,160,9,27.04,99856.56,17.44,1099892.62,176,5,27.39,99838.25,17.15,2284439.50,176,5,28.97,99922.12,15.54,1344714.37,160,4,28.64,99932.10,15.87,389798.25,160,7,28.98,99925.07,15.79,3351882.25,176,7,28.88,99908.30,15.89,451101.31,176,5
2025-01-13 13:43:09,7066781,1,0,26.05,99857.33,18.01,124271.84,160,7,26.12,99839.52,18.05,139168.25,160,8,27.04,99854.91,17.43,1103448.25,176,3,27.40,99838.18,17.15,2278720.50,176,3,28.82,99913.23,15.50,25367138.00,176,0,28.68,99937.05,15.85,1600000.00,160,4,28.90,99924.37,15.76,363830.16,160,3,28.91,99910.89,15.88,438356.16,176,2
2025-01-13 13:43:10,7067781,1,0,26.04,99854.76,18.00,124634.86,160,7,26.13,99841.55,18.05,139281.83,160,8,27.07,99857.33,17.45,13023847.00,176,1,27.41,99838.06,17.15,31790444.00,176,1,28.80,99912.91,15.52,363830.16,160,7,28.58,99929.20,15.85,21947756.00,176,0,28.94,99922.66,15.76,946614.31,176,0,28.89,99908.07,15.87,4265556.00,176,7
2025-01-13 13:43:11,7068781,1,0,26.07,99855.29,18.01,124725.95,160,7,26.15,99842.52,18.07,139852.50,160,8,27.04,99857.09,17.44,127808.29,176,8,27.38,99837.47,17.16,235999.08,176,8,28.90,99913.39,15.52,363830.16,160,3,28.58,99932.05,15.84,391587.00,160,7,28.90,99919.59,15.75,976400.50,176,6,28.88,99911.07,15.88,174446.34,176,4
2025-01-13 13:43:12,7069781,1,0,26.10,99853.06,18.03,710124.81,160,6,26.17,99839.54,18.08,139967.19,160,8,27.12,99859.63,17.45,126764.05,176,7,27.48,99844.07,17.17,235348.20,176,7,28.81,99912.13,15.54,192156.13,176,9,28.67,99931.33,15.88,396591.78,160,3,28.97,99927.56,15.79,321911.34,176,2,28.92,99908.95,15.91,1188969.50,176,0
2025-01-13 13:43:13,7070781,1,0,26.10,99852.77,18.04,714584.81,160,6,26.18,99841.39,18.09,139623.67,160,7,27.09,99855.45,17.47,1091102.88,176,5,27.43,99839.05,17.19,2292109.75,176,4,28.85,99914.82,15.56,795031.06,176,6,28.59,99932.53,15.91,175884.58,176,9,28.97,99922.08,15.82,13574151.00,176,8,28.86,99907.31,15.93,1212193.00,176,6
2025-01-13 13:43:14,7071781,1,0,26.07,99852.73,18.06,718344.44,160,5,26.16,99841.01,18.10,140312.42,160,7,27.04,99852.80,17.48,1653613.25,160,2,27.40,99836.67,17.21,6400000.00,160,2,28.92,99920.38,15.59,3727024.50,176,2,28.58,99931.56,15.91,395672.34,160,7,28.91,99928.62,15.82,131856.81,176,4,28.91,99910.48,15.94,439202.22,176,2
2025-01-13 13:43:15,7072781,1,0,26.04,99854.30,18.03,718344.44,160,5,26.13,99841.12,18.08,140427.86,160,7,27.02,99853.50,17.46,34177836.00,160,0,27.38,99836.30,17.20,102400000.00,160,0,28.77,99913.92,15.58,193025.45,176,9,28.63,99930.22,15.93,399142.47,160,3,28.92,99923.02,15.83,800000.00,160,1,28.88,99908.66,15.94,4275574.00,176,9
