Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-01-15 15:13:11,135090,3,0,30.90,101169.95,34.54,44755.25,160,8,30.85,101157.54,34.96,50068.45,160,9,31.86,101171.08,32.96,50186.24,176,8,32.20,101151.95,33.21,89982.42,176,8,33.33,101225.34,32.09,742567.06,160,4,33.19,101246.60,32.04,82901.55,176,8,32.79,101227.90,33.59,302243.22,176,6,32.96,101210.85,33.00,419242.59,176,6
2025-01-15 15:13:12,136090,3,0,30.95,101171.66,34.62,44849.34,160,8,30.85,101159.44,35.07,50753.37,160,8,31.98,101173.14,33.13,363830.16,160,6,32.25,101153.67,33.41,363830.16,160,6,33.27,101221.20,32.27,4381920.50,176,0,33.23,101242.84,32.24,281783.16,176,5,32.85,101231.99,33.88,458063.06,160,3,32.99,101215.37,33.27,532778.37,160,3
2025-01-15 15:13:13,137090,3,0,30.99,101166.69,34.55,45038.71,160,7,30.86,101158.92,35.03,51240.99,160,8,32.06,101173.07,33.24,316244.59,176,4,32.27,101154.24,33.52,661926.31,176,4,33.30,101221.29,32.50,363830.16,160,7,33.30,101237.60,32.47,363830.16,160,1,32.94,101232.38,34.12,783174.00,176,9,33.06,101216.37,33.48,1130866.87,176,9
2025-01-15 15:13:14,138090,3,0,31.00,101167.84,34.03,45422.29,160,7,30.85,101156.49,34.64,51738.07,160,8,32.10,101165.48,33.19,845233.19,160,2,32.29,101152.73,33.38,1600000.00,160,2,33.37,101215.85,32.69,363830.16,160,3,33.26,101236.95,32.63,712347.81,160,7,32.89,101226.33,34.36,123731.27,176,5,32.99,101211.68,33.70,173913.05,176,5
2025-01-15 15:13:15,139090,3,0,31.00,101169.15,33.15,45861.70,160,7,30.86,101157.50,33.92,52181.00,160,7,32.12,101168.91,32.78,6400000.00,160,0,32.27,101152.05,32.93,94482.37,176,9,33.30,101220.91,32.78,68357.81,176,9,33.38,101245.26,32.79,740955.13,160,4,32.99,101231.07,34.59,454404.25,160,1,33.08,101212.34,33.94,533194.50,160,1
2025-01-15 15:13:16,140090,3,0,31.01,101167.43,32.14,200626.95,160,6,30.85,101155.46,32.97,52958.21,160,7,32.10,101169.63,32.10,52566.73,176,8,32.26,101152.70,32.14,95273.54,176,8,33.31,101218.98,32.80,223483.19,176,6,33.28,101237.21,32.86,5170085.00,176,0,32.99,101229.92,34.76,802507.81,176,7,33.08,101213.29,34.09,1155756.25,176,7
2025-01-15 15:13:17,141090,3,0,31.01,101166.37,31.13,202772.28,160,6,30.84,101153.55,31.95,53657.52,160,7,32.12,101165.95,31.31,363830.16,160,6,32.28,101151.57,31.30,707182.31,176,5,33.42,101225.66,32.76,840032.81,176,2,33.27,101238.02,32.82,719859.38,160,7,32.97,101231.05,34.87,453197.63,160,3,33.07,101220.24,34.19,78987.97,176,4
2025-01-15 15:13:18,142090,3,0,31.00,101163.77,30.35,204350.42,160,5,30.85,101154.88,31.01,54340.90,160,7,32.12,101167.86,30.51,352860.09,176,4,32.30,101150.80,30.44,728307.25,176,3,33.31,101217.89,32.62,69470.83,176,9,33.34,101233.52,32.73,747445.25,160,3,33.03,101230.74,34.93,787238.12,176,9,33.10,101214.05,34.24,405063.28,176,0
2025-01-15 15:13:19,143090,3,0,31.00,101163.54,29.72,206202.17,160,5,30.86,101155.43,30.25,231674.20,160,6,32.14,101165.77,29.89,2727030.75,176,1,32.32,101151.90,29.65,7104943.50,176,1,33.39,101223.10,32.43,228571.42,176,5,33.26,101238.43,32.53,86691.50,176,9,32.99,101227.54,34.94,302511.09,176,6,33.07,101213.09,34.23,421052.62,176,6
2025-01-15 15:13:20,144090,3,0,30.99,101165.20,29.28,207581.59,160,5,30.85,101154.18,29.61,234217.75,160,6,32.12,101165.48,29.26,58155.38,176,9,32.27,101149.23,28.97,100372.48,176,8,33.43,101223.77,32.19,861771.50,176,2,33.27,101236.34,32.28,287721.28,176,6,33.06,101233.91,34.90,118162.94,176,2,33.12,101215.48,34.17,168421.05,176,2
2025-01-15 15:13:21,145090,3,0,30.95,101161.70,28.99,208724.02,160,4,30.85,101155.71,29.07,235999.08,160,6,32.11,101167.61,28.78,55652.18,176,8,32.29,101150.36,28.36,363830.16,160,6,33.37,101225.60,31.90,69301.57,176,8,33.36,101232.79,31.98,363830.16,160,3,33.08,101233.34,34.80,2426540.25,176,8,33.13,101213.46,34.06,3968031.00,176,8
2025-01-15 15:13:22,146090,3,0,30.94,101161.12,28.79,209621.30,160,4,30.84,101153.43,28.67,226749.33,160,5,32.13,101167.08,28.43,380245.09,176,5,32.28,101150.87,27.90,751283.94,176,4,33.40,101223.83,31.61,234057.14,176,5,33.27,101238.57,31.72,88123.92,176,9,33.03,101235.67,34.68,58594.64,176,4,33.11,101222.23,33.89,80025.01,176,4
2025-01-15 15:13:23,147090,3,0,30.95,101163.71,28.63,211177.56,160,4,30.84,101153.80,28.32,227808.67,160,5,32.16,101168.66,28.12,389798.25,176,3,32.29,101148.91,27.45,1600000.00,160,2,33.40,101217.63,31.34,363830.16,160,1,33.28,101238.49,31.41,293662.19,176,6,33.08,101229.86,34.51,467153.28,160,1,33.13,101212.93,33.69,549946.31,160,1
2025-01-15 15:13:24,148090,3,0,30.94,101167.72,28.53,893932.75,176,3,30.84,101153.91,28.04,228571.42,160,5,32.14,101165.41,27.88,2858339.25,176,1,32.31,101149.39,27.13,20239654.00,160,0,33.36,101218.32,31.08,363830.16,160,7,33.39,101238.70,31.14,1137461.87,176,2,33.02,101227.85,34.36,309927.38,176,6,33.12,101210.89,33.54,1205769.75,176,7
2025-01-15 15:13:25,149090,3,0,30.93,101163.57,28.47,898048.69,176,3,30.83,101153.48,27.83,229957.33,160,5,32.12,101163.52,27.68,59369.20,176,9,32.27,101148.90,26.85,103727.71,176,8,33.47,101222.33,30.86,796267.50,160,4,33.29,101235.28,30.87,89510.49,176,9,33.05,101232.18,34.13,469079.25,160,3,33.10,101213.52,33.32,549503.62,160,3
2025-01-15 15:13:26,150090,3,0,30.96,101165.57,28.41,1100779.37,176,2,30.79,101149.05,27.64,231517.06,160,4,32.16,101171.57,27.49,55944.05,176,7,32.28,101148.38,26.61,767328.56,176,5,33.37,101216.59,30.64,4743486.00,176,0,33.37,101239.15,30.64,298542.28,176,5,33.11,101233.09,33.96,826306.25,176,9,33.15,101214.15,33.17,1193125.50,176,9
2025-01-15 15:13:27,151090,3,0,30.95,101164.70,28.40,1105234.75,176,2,30.78,101148.14,27.48,232463.11,160,4,32.13,101164.34,27.36,388910.00,176,5,32.30,101148.20,26.44,779596.50,176,3,33.36,101215.87,30.43,363830.16,160,7,33.40,101239.12,30.42,1148948.12,176,2,33.01,101228.34,33.78,128967.26,176,5,33.07,101213.66,32.95,181110.72,176,5
2025-01-15 15:13:28,152090,3,0,30.95,101166.30,28.38,1108825.12,176,2,30.78,101150.27,27.40,232621.53,160,4,32.13,101163.94,27.25,997807.56,160,2,32.32,101152.84,26.31,7641791.00,176,1,33.44,101216.40,30.26,363830.16,160,3,33.34,101239.83,30.25,86868.00,176,8,33.11,101230.16,33.61,473635.53,160,1,33.15,101216.51,32.79,173559.33,176,2
2025-01-15 15:13:29,153090,3,0,30.96,101164.45,28.38,1748932.50,176,1,30.77,101152.51,27.34,1060590.37,176,3,32.14,101163.40,27.17,6400000.00,160,0,32.28,101149.50,26.19,105004.10,176,9,33.36,101218.13,30.11,71628.43,176,9,33.38,101239.63,30.08,300645.91,176,5,33.10,101230.24,33.44,852622.81,176,7,33.13,101210.19,32.65,1223051.62,176,7
2025-01-15 15:13:30,154090,3,0,30.95,101163.95,28.38,1748932.50,176,1,30.77,101154.52,27.28,1061414.87,176,3,32.11,101166.60,27.11,56914.18,176,8,32.31,101154.46,26.12,104107.36,176,7,33.37,101218.82,30.02,237146.83,176,6,33.39,101234.20,29.93,363830.16,160,1,33.08,101236.30,33.28,59327.93,176,4,33.13,101218.95,32.48,80859.12,176,4
2025-01-15 15:13:31,155090,3,0,30.95,101165.19,28.39,1737802.25,176,1,30.77,101153.98,27.26,1063896.12,176,3,32.12,101166.44,27.05,363830.16,160,6,32.28,101151.18,26.04,779596.50,176,4,33.45,101218.27,29.88,363830.16,160,3,33.33,101234.28,29.79,363830.16,160,7,33.12,101232.82,33.14,299853.59,176,0,33.15,101212.36,32.35,422093.97,176,0
2025-01-15 15:13:32,156090,3,0,30.95,101164.30,28.39,50513.02,160,0,30.76,101154.68,27.24,1062240.62,176,3,32.12,101166.79,27.00,391811.75,176,4,32.28,101148.63,26.02,1600000.00,160,2,33.37,101216.59,29.76,71748.88,176,9,33.44,101240.65,29.70,885813.13,160,4,33.07,101229.06,33.01,314496.31,176,6,33.11,101211.84,32.22,437233.12,176,6
