Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-02-21 14:27:52,7297,1,1,27.29,101783.37,9.24,6400000.00,160,7,27.42,101763.79,9.11,6400000.00,160,8,28.16,101773.76,9.25,3335505.00,176,4,28.58,101759.26,9.00,7572914.50,160,4,29.98,101828.16,8.89,6812474.00,160,3,29.66,101847.16,8.95,797197.37,160,3,30.23,101838.54,8.92,1600000.00,160,1,30.13,101829.20,9.20,1934813.37,160,1
2025-02-21 14:27:53,8297,1,1,27.26,101782.48,9.28,6400000.00,160,7,27.38,101759.63,9.14,6400000.00,160,8,28.17,101771.44,9.28,6400000.00,160,2,28.61,101758.10,9.01,64377212.00,176,1,29.89,101830.23,8.89,527835.06,176,9,29.56,101847.63,8.96,356173.91,176,9,30.18,101836.48,8.92,8497925.00,176,7,30.07,101827.93,9.18,15062285.00,176,7
2025-02-21 14:27:54,9297,1,1,27.20,101781.92,9.29,6400000.00,160,7,27.38,101763.81,9.16,6400000.00,160,7,28.18,101774.86,9.29,45733428.00,160,0,28.58,101756.94,9.05,849440.06,160,9,29.88,101831.16,8.89,2284439.50,176,6,29.53,101849.66,8.97,1533795.12,176,6,30.14,101843.02,8.92,301176.47,176,4,30.02,101830.39,9.18,800000.00,160,3
2025-02-21 14:27:55,10297,1,1,27.17,101781.73,9.31,31859990.00,160,6,27.33,101763.02,9.19,6400000.00,160,7,28.12,101772.97,9.30,311057.09,176,8,28.60,101763.23,9.07,608799.06,176,7,29.95,101828.16,8.90,6650700.00,160,3,29.60,101844.18,8.98,795339.81,160,3,30.17,101837.05,8.93,2386251.00,176,0,30.06,101831.71,9.19,14550622.00,176,9
2025-02-21 14:27:56,11297,1,1,27.14,101781.53,9.34,28794376.00,160,6,27.31,101763.58,9.23,6400000.00,160,7,28.13,101774.15,9.34,363830.16,160,6,28.56,101759.22,9.10,5131224.50,176,5,29.85,101830.80,8.89,501837.78,176,9,29.50,101847.57,8.97,339522.53,176,9,30.11,101838.66,8.91,2384167.75,176,6,29.99,101827.89,9.19,3872370.50,176,6
2025-02-21 14:27:57,12297,1,1,27.09,101781.62,9.36,25635048.00,160,6,27.26,101762.93,9.24,6400000.00,160,7,28.11,101774.61,9.36,2292109.75,176,4,28.55,101758.36,9.10,5074016.50,176,3,29.84,101833.23,8.88,2243154.50,176,6,29.48,101849.56,8.99,1515073.00,176,6,30.13,101839.16,8.94,778263.38,176,2,30.01,101830.04,9.22,1293746.00,176,2
2025-02-21 14:27:58,13297,1,1,27.06,101780.84,9.40,25600000.00,160,5,27.26,101765.02,9.28,20428928.00,160,6,28.08,101773.44,9.38,5940536.50,160,2,28.52,101758.98,9.14,102400000.00,160,0,29.95,101838.62,8.90,10233604.00,176,2,29.56,101852.16,9.01,7128127.00,176,2,30.13,101837.89,8.95,30760854.00,176,8,30.00,101829.98,9.22,58988300.00,176,8
2025-02-21 14:27:59,14297,1,1,27.04,101782.07,9.43,21347232.00,160,5,27.22,101762.53,9.33,16761125.00,160,6,28.06,101773.33,9.43,42946264.00,160,0,28.46,101759.53,9.18,465243.06,176,8,29.79,101830.80,8.88,496364.53,176,9,29.42,101850.30,9.00,341219.59,176,9,30.05,101844.19,8.96,287237.03,176,4,29.89,101829.60,9.22,474953.62,176,4
2025-02-21 14:28:00,15297,1,1,27.00,101780.45,9.48,17989570.00,160,5,27.18,101761.29,9.37,11690332.00,160,6,28.01,101775.78,9.44,241509.44,176,8,28.46,101760.01,9.22,2168343.00,160,6,29.84,101836.58,8.89,2214054.00,176,5,29.44,101850.41,9.01,1500916.12,176,5,30.02,101838.00,8.95,1600000.00,160,1,29.88,101826.38,9.20,1779708.87,160,1
2025-02-21 14:28:01,16297,1,1,26.93,101777.01,9.49,14648190.00,160,4,27.16,101763.88,9.40,10148033.00,160,6,27.99,101775.57,9.48,363830.16,160,6,28.42,101758.32,9.24,4986001.00,176,4,29.86,101836.58,8.90,10233604.00,176,2,29.47,101853.13,9.00,7123478.50,176,2,29.98,101837.66,8.94,8100865.50,176,7,29.80,101826.52,9.18,3737226.25,176,6
2025-02-21 14:28:02,17297,1,1,26.90,101776.16,9.54,11062795.00,160,4,27.13,101763.75,9.44,8464996.00,160,5,27.97,101776.38,9.50,2261733.75,176,4,28.41,101757.95,9.27,6386279.50,160,2,29.77,101836.21,8.90,488549.62,176,8,29.38,101851.95,9.01,331606.22,176,8,29.93,101837.64,8.93,731428.56,160,3,29.80,101828.83,9.14,800000.00,160,3
2025-02-21 14:28:03,18297,1,1,26.89,101777.32,9.58,9620669.00,160,4,27.12,101761.04,9.48,7208095.00,160,5,27.98,101774.35,9.53,20314942.00,176,1,28.41,101758.54,9.30,102400000.00,160,0,29.79,101836.77,8.90,2192719.50,176,5,29.39,101850.87,9.01,1486751.37,176,5,29.97,101839.70,8.91,8035311.50,176,9,29.83,101827.70,9.16,13770960.00,176,9
2025-02-21 14:28:04,19297,1,1,26.87,101779.78,9.59,28493914.00,176,3,27.10,101763.69,9.52,6183808.50,160,5,27.93,101774.40,9.56,239644.28,176,9,28.36,101759.63,9.32,454706.94,176,8,29.76,101828.20,8.89,6416291.50,160,1,29.38,101846.58,9.01,794414.25,160,1,29.83,101835.98,8.90,760914.00,176,5,29.70,101826.61,9.11,1263807.50,176,5
2025-02-21 14:28:05,20297,1,1,26.81,101784.02,9.62,28456796.00,176,3,27.05,101764.02,9.53,5497986.50,160,5,27.86,101773.67,9.56,239476.14,176,8,28.32,101759.88,9.32,4914217.00,176,5,29.67,101830.82,8.88,6442784.00,160,7,29.27,101846.80,9.00,780785.38,160,7,29.86,101839.28,8.86,744186.06,176,2,29.71,101826.84,9.09,1234106.62,176,2
2025-02-21 14:28:06,21297,1,1,26.79,101783.30,9.62,28382850.00,176,3,26.97,101757.93,9.54,4861721.00,160,4,27.84,101772.86,9.56,2267367.75,176,5,28.30,101757.05,9.33,4954339.50,176,3,29.73,101836.03,8.85,6469496.50,160,4,29.33,101850.44,8.98,2254265.25,160,4,29.81,101835.22,8.83,30760854.00,176,8,29.65,101825.10,9.04,13753620.00,176,7
2025-02-21 14:28:07,22297,1,1,26.82,101785.38,9.61,37556448.00,176,2,26.97,101758.50,9.52,4508530.50,160,4,27.86,101775.22,9.56,2269252.00,176,3,28.31,101757.29,9.31,58671440.00,176,1,29.62,101829.90,8.81,60249140.00,176,0,29.27,101844.66,8.93,784373.81,160,1,29.76,101839.34,8.77,281783.16,176,4,29.60,101828.72,8.99,461469.12,176,4
2025-02-21 14:28:08,23297,1,1,26.78,101785.47,9.60,37491992.00,176,2,26.93,101759.97,9.53,4161544.25,160,4,27.80,101774.24,9.55,20390790.00,176,1,28.24,101757.20,9.27,454404.25,176,9,29.59,101833.99,8.78,6450393.50,160,7,29.19,101844.48,8.90,778115.50,160,7,29.78,101834.32,8.74,2278720.50,176,0,29.63,101825.39,8.95,3666965.00,176,0
2025-02-21 14:28:09,24297,1,1,26.72,101782.55,9.59,72919056.00,160,1,26.88,101757.23,9.50,3842401.50,160,4,27.73,101771.63,9.51,240827.84,176,9,28.23,101763.30,9.27,453498.66,176,7,29.65,101837.54,8.73,6496431.50,160,4,29.26,101849.53,8.86,2250549.50,160,4,29.69,101833.70,8.68,2297896.25,176,6,29.55,101825.59,8.91,3742348.00,176,6
2025-02-21 14:28:10,25297,1,1,26.69,101780.60,9.57,72375480.00,160,1,26.84,101758.64,9.49,24819542.00,176,3,27.74,101781.06,9.50,240488.50,176,7,28.16,101756.81,9.22,4949849.00,176,5,29.49,101831.95,8.69,61177128.00,176,0,29.12,101843.60,8.82,42694464.00,176,0,29.65,101833.76,8.65,729085.06,160,3,29.55,101827.73,8.84,1227449.75,176,2
2025-02-21 14:28:11,26297,1,1,26.66,101780.98,9.55,72979952.00,160,1,26.81,101759.47,9.47,24791376.00,176,3,27.69,101776.24,9.47,2297896.25,176,5,28.15,101756.29,9.21,6345468.50,160,2,29.44,101831.38,8.65,6515808.50,160,7,29.05,101841.64,8.77,779003.44,160,7,29.65,101835.30,8.59,8082881.00,176,9,29.50,101827.12,8.80,13582591.00,176,9
2025-02-21 14:28:12,27297,1,1,26.65,101780.98,9.53,2173520.75,160,0,26.79,101759.61,9.46,24819542.00,176,3,27.69,101775.16,9.46,2299831.50,176,3,28.15,101759.42,9.19,102400000.00,160,0,29.50,101831.95,8.61,6527490.00,160,3,29.12,101842.90,8.73,784373.81,160,3,29.55,101833.55,8.55,758799.56,176,5,29.41,101825.53,8.75,1253366.00,176,5
2025-02-21 14:28:13,28297,1,1,26.66,101782.44,9.50,2034268.62,160,0,26.77,101757.36,9.43,24554514.00,176,3,27.68,101779.20,9.42,21059126.00,176,1,28.10,101758.48,9.15,454102.00,176,8,29.41,101832.14,8.57,486114.41,176,9,29.03,101842.73,8.70,343970.44,176,9,29.61,101834.94,8.50,1600000.00,160,1,29.48,101824.25,8.72,1751175.75,160,1
2025-02-21 14:28:14,29297,1,1,26.63,101783.47,9.48,1929345.25,160,0,26.77,101761.88,9.41,34693488.00,176,2,27.63,101778.02,9.42,241509.44,176,9,28.08,101756.40,9.14,2144502.50,160,6,29.37,101831.20,8.54,2214054.00,176,6,28.98,101843.70,8.67,1563657.12,176,6,29.56,101833.82,8.48,8179730.50,176,7,29.42,101823.35,8.68,13676127.00,176,7
