Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-01-15 14:22:17,12624,1,0,24.97,101142.59,13.70,11868164.00,176,2,24.86,101128.47,13.78,9766915.00,176,3,26.20,101142.38,13.98,8571279.00,176,0,26.45,101129.57,13.69,215851.61,176,8,28.25,101195.41,12.24,363830.16,160,1,27.98,101206.98,12.57,430071.41,160,1,28.31,101200.91,12.39,4584219.50,176,7,28.31,101187.55,12.60,6020209.50,176,7
2025-01-15 14:22:18,13624,1,0,24.98,101144.88,13.62,25600000.00,160,1,24.87,101129.23,13.72,13920136.00,176,2,26.17,101143.45,13.83,59040.59,176,8,26.48,101128.95,13.57,363830.16,160,6,28.22,101197.09,12.12,363830.16,160,7,27.93,101209.90,12.42,423928.78,160,7,28.31,101201.97,12.25,409190.81,160,3,28.32,101191.03,12.44,649334.19,160,3
2025-01-15 14:22:19,14624,1,0,25.00,101142.48,13.55,25600000.00,160,1,24.89,101126.09,13.64,13858321.00,176,2,26.22,101144.21,13.72,363830.16,160,6,26.51,101129.88,13.45,2017734.00,176,4,28.33,101202.25,11.98,790886.25,160,4,28.06,101212.93,12.28,1600000.00,160,4,28.32,101202.51,12.10,1253366.00,176,0,28.36,101189.30,12.29,6121427.00,176,9
2025-01-15 14:22:20,15624,1,0,25.03,101144.51,13.48,25600000.00,160,1,24.93,101128.57,13.59,13893576.00,176,2,26.23,101143.39,13.61,470372.06,176,4,26.51,101126.09,13.34,2903934.75,160,2,28.23,101193.55,11.87,14387706.00,176,0,27.98,101207.34,12.19,28549772.00,176,0,28.28,101198.37,11.99,1303628.25,176,6,28.29,101187.32,12.17,587324.38,176,5
2025-01-15 14:22:21,16624,1,0,25.03,101140.47,13.41,489952.16,160,0,24.93,101125.68,13.53,13884746.00,176,2,26.23,101138.96,13.54,5274951.50,176,1,26.53,101123.48,13.24,102400000.00,160,0,28.21,101192.45,11.76,363830.16,160,7,27.97,101205.75,12.07,446090.19,160,7,28.32,101200.71,11.88,420793.09,176,2,28.37,101188.70,12.06,581818.19,176,2
2025-01-15 14:22:22,17624,1,0,25.03,101139.77,13.38,489952.16,160,0,24.94,101123.00,13.47,25600000.00,160,1,26.22,101138.10,13.42,68303.09,176,9,26.50,101122.57,13.15,233896.75,176,8,28.27,101189.06,11.68,363830.16,160,3,28.04,101203.38,11.96,458370.63,160,3,28.34,101199.42,11.79,22170500.00,176,8,28.35,101182.37,11.95,6511923.50,176,7
2025-01-15 14:22:23,18624,1,0,25.03,101140.17,13.30,476279.06,160,0,24.95,101125.33,13.42,25600000.00,160,1,26.21,101141.13,13.35,69584.13,176,8,26.51,101126.46,13.08,2244998.75,176,5,28.18,101192.64,11.58,140427.86,176,9,27.95,101206.28,11.87,207707.91,176,9,28.29,101203.99,11.69,166287.75,176,4,28.34,101189.83,11.84,231831.56,176,4
2025-01-15 14:22:24,19624,1,0,25.05,101143.64,13.26,472979.22,160,0,24.95,101126.97,13.36,24214298.00,176,1,26.21,101142.90,13.27,566371.69,176,5,26.53,101126.61,12.99,2301770.25,176,3,28.23,101194.86,11.50,568257.50,176,6,27.99,101208.01,11.78,462720.28,160,7,28.37,101201.16,11.61,1028628.81,160,1,28.42,101187.05,11.75,1699937.75,176,0
2025-01-15 14:22:25,20624,1,0,25.06,101142.35,13.22,474293.66,160,9,24.96,101126.66,13.31,25600000.00,160,1,26.23,101141.10,13.20,567784.88,176,3,26.52,101127.28,12.93,36429128.00,176,1,28.30,101193.15,11.44,363830.16,160,3,28.06,101206.84,11.72,463663.13,160,3,28.36,101200.28,11.55,5126408.00,176,7,28.37,101185.79,11.68,1751175.75,176,6
2025-01-15 14:22:26,21624,1,0,25.08,101142.24,13.18,460224.72,160,9,24.98,101128.89,13.28,25600000.00,160,1,26.23,101140.75,13.12,6539213.50,176,1,26.50,101126.70,12.87,250918.89,176,9,28.22,101195.98,11.36,151389.70,176,9,27.96,101207.23,11.64,213288.89,176,9,28.35,101202.65,11.47,442906.56,160,3,28.38,101186.37,11.60,705720.19,160,3
