Real_Time,Timestamp_ms,Label_Tag,HeaterProfile_ID,Sensor1_Temperature_deg_C,Sensor1_Pressure_Pa,Sensor1_Humidity_%,Sensor1_GasResistance_ohm,Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature_deg_C,Sensor2_Pressure_Pa,Sensor2_Humidity_%,Sensor2_GasResistance_ohm,Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature_deg_C,Sensor3_Pressure_Pa,Sensor3_Humidity_%,Sensor3_GasResistance_ohm,Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature_deg_C,Sensor4_Pressure_Pa,Sensor4_Humidity_%,Sensor4_GasResistance_ohm,Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature_deg_C,Sensor5_Pressure_Pa,Sensor5_Humidity_%,Sensor5_GasResistance_ohm,Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature_deg_C,Sensor6_Pressure_Pa,Sensor6_Humidity_%,Sensor6_GasResistance_ohm,Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature_deg_C,Sensor7_Pressure_Pa,Sensor7_Humidity_%,Sensor7_GasResistance_ohm,Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature_deg_C,Sensor8_Pressure_Pa,Sensor8_Humidity_%,Sensor8_GasResistance_ohm,Sensor8_Status,Sensor8_GasIndex
2025-01-29 18:04:41,17553,1,1,29.06,99781.90,14.21,400000.00,160,9,29.15,99770.92,14.20,400000.00,160,0,30.35,99782.11,13.87,116708.45,176,8,30.80,99774.99,13.16,363830.16,160,6,31.16,99849.25,12.97,3847816.00,176,2,30.92,99863.73,13.36,3423318.00,176,2,30.72,99849.23,13.69,3491157.00,176,7,30.64,99838.20,13.75,1408528.25,176,6
2025-01-29 18:04:42,18553,1,1,28.98,99783.20,14.09,371283.53,160,8,29.07,99771.10,14.09,400000.00,160,0,30.29,99782.27,13.77,1011857.69,176,5,30.70,99771.41,13.03,1624107.87,176,4,31.03,99846.77,12.83,197607.09,176,8,30.78,99862.46,13.22,175522.80,176,8,30.63,99849.02,13.52,363830.16,160,3,30.60,99837.95,13.59,626683.00,160,3
2025-01-29 18:04:43,19553,1,1,28.90,99784.45,14.00,361454.28,160,8,29.01,99769.55,14.00,400000.00,160,9,30.20,99784.16,13.64,1052415.25,176,3,30.62,99771.17,12.96,17828074.00,176,1,30.98,99841.88,12.71,860685.00,176,5,30.75,99860.33,13.09,766037.00,176,5,30.64,99849.13,13.39,3611196.75,176,9,30.60,99839.10,13.45,4995122.00,176,9
2025-01-29 18:04:44,20553,1,1,28.92,99784.90,13.90,350325.00,160,8,29.01,99769.73,13.90,400000.00,160,9,30.19,99784.23,13.55,10399238.00,176,1,30.58,99768.62,12.89,175522.80,176,9,31.01,99839.70,12.60,363830.16,160,1,30.81,99863.62,12.97,3625581.00,176,2,30.57,99847.89,13.27,382803.75,176,5,30.54,99837.98,13.33,549061.69,176,5
2025-01-29 18:04:45,21553,1,1,28.97,99783.84,13.81,336178.59,160,7,29.04,99769.26,13.80,400000.00,160,9,30.21,99785.09,13.47,126108.37,176,9,30.63,99774.54,12.80,176066.03,176,7,30.96,99839.72,12.49,363830.16,160,7,30.79,99861.64,12.88,183842.02,176,8,30.65,99850.59,13.13,369275.16,176,2,30.66,99839.65,13.20,534028.69,176,2
2025-01-29 18:04:46,22553,1,1,28.99,99786.77,13.74,323743.28,160,7,29.05,99769.20,13.74,400000.00,160,9,30.25,99790.75,13.38,125922.28,176,7,30.58,99768.95,12.75,1787865.50,176,5,31.08,99846.74,12.40,1600000.00,160,4,30.83,99860.04,12.79,803925.44,176,5,30.66,99848.38,13.04,15124856.00,176,8,30.67,99836.83,13.12,5384160.50,176,7
2025-01-29 18:04:47,23553,1,1,28.97,99786.66,13.68,406510.53,160,6,29.04,99771.28,13.67,400000.00,160,8,30.17,99784.73,13.29,1118820.00,176,5,30.53,99768.95,12.66,1843384.37,176,3,30.95,99839.01,12.33,28475342.00,176,0,30.82,99856.38,12.72,499634.06,160,1,30.60,99851.80,12.94,149010.48,176,4,30.63,99841.80,13.02,214900.31,176,4
2025-01-29 18:04:48,24553,1,1,28.83,99782.47,13.60,395214.19,160,6,28.91,99767.52,13.59,364932.28,160,8,30.08,99779.97,13.23,1148948.12,176,3,30.46,99764.89,12.61,47836496.00,160,0,30.91,99835.79,12.24,363830.16,160,7,30.71,99852.80,12.62,493850.97,160,7,30.63,99844.96,12.84,1132743.37,176,0,30.62,99832.91,12.92,1539849.62,176,0
2025-01-29 18:04:49,25553,1,1,28.73,99781.27,13.52,384745.44,160,6,28.84,99766.91,13.51,348536.41,160,8,29.98,99778.86,13.17,25877986.00,176,0,30.35,99763.27,12.52,193463.06,176,8,30.98,99840.59,12.16,1600000.00,160,4,30.75,99856.63,12.54,1600000.00,160,4,30.55,99843.57,12.77,1168616.25,176,6,30.52,99830.35,12.84,1618332.62,176,6
2025-01-29 18:04:50,26553,1,1,28.65,99780.45,13.45,347118.66,160,5,28.79,99771.27,13.46,331606.22,160,8,29.89,99779.05,13.08,134347.94,176,8,30.33,99766.55,12.48,363830.16,160,6,30.85,99834.71,12.08,30481860.00,176,0,30.62,99851.47,12.45,23330722.00,176,0,30.55,99843.32,12.67,396822.31,160,3,30.51,99834.06,12.74,705720.19,160,3
2025-01-29 18:04:51,27553,1,1,28.58,99784.25,13.39,378558.22,160,5,28.72,99769.84,13.38,311625.06,160,7,29.86,99781.40,13.03,363830.16,160,6,30.26,99766.55,12.42,2007351.12,176,4,30.83,99838.15,12.02,363830.16,160,7,30.60,99854.33,12.37,513540.62,160,7,30.59,99846.98,12.57,4136329.25,176,9,30.54,99835.12,12.67,5832680.50,176,9
2025-01-29 18:04:52,28553,1,1,28.57,99785.98,13.33,382803.75,160,5,28.73,99771.91,13.34,296210.59,160,7,29.84,99783.36,12.98,1228554.25,176,4,30.28,99764.87,12.38,2796859.00,160,2,30.93,99833.47,11.96,363830.16,160,3,30.70,99853.41,12.32,523785.16,160,3,30.55,99844.05,12.51,421572.66,176,5,30.49,99835.94,12.58,605558.81,176,5
2025-01-29 18:04:53,29553,1,1,28.47,99781.84,13.27,389131.69,160,4,28.67,99773.12,13.28,280855.72,160,7,29.79,99779.66,12.94,1959808.62,160,2,30.26,99767.82,12.35,65634452.00,160,0,30.86,99838.97,11.91,240997.88,176,9,30.60,99855.78,12.25,209364.14,176,9,30.65,99846.03,12.45,1024768.56,160,1,30.57,99835.09,12.52,1600000.00,160,1
2025-01-29 18:04:54,30553,1,1,28.39,99781.96,13.23,395214.19,160,4,28.58,99776.27,13.25,262698.81,160,7,29.73,99780.33,12.88,28718668.00,160,0,30.14,99770.73,12.30,208469.06,176,8,30.80,99838.07,11.84,1036437.25,176,6,30.53,99856.39,12.20,885238.81,176,6,30.58,99846.32,12.36,4360926.50,176,7,30.50,99833.84,12.47,6276192.50,176,7
2025-01-29 18:04:55,31553,1,1,28.37,99787.98,13.19,401253.91,160,4,28.56,99779.04,13.21,450208.84,160,6,29.64,99787.98,12.85,142301.28,176,8,30.10,99775.63,12.27,2022216.75,176,5,30.87,99848.65,11.80,4981453.50,176,2,30.59,99859.56,12.16,541226.19,160,3,30.50,99853.63,12.32,161718.25,176,4,30.44,99844.34,12.42,749085.56,160,3
2025-01-29 18:04:56,32553,1,1,28.38,99793.46,13.18,2161477.50,176,3,28.57,99780.87,13.19,455313.47,160,6,29.65,99788.66,12.84,363830.16,160,6,30.11,99773.82,12.28,2063476.12,176,3,30.76,99845.67,11.80,248724.80,176,9,30.50,99860.89,12.14,212889.81,176,9,30.55,99853.75,12.30,1245363.37,176,0,30.49,99845.10,12.40,1709515.87,176,0
2025-01-29 18:04:57,33553,1,1,28.37,99792.18,13.19,2170066.25,176,3,28.57,99778.05,13.19,460846.09,160,6,29.65,99789.20,12.85,1309881.62,176,4,30.14,99777.42,12.30,24595984.00,176,1,30.82,99844.73,11.79,1073938.12,176,6,30.53,99858.88,12.14,907600.25,176,6,30.54,99849.99,12.30,1285221.25,176,6,30.47,99842.84,12.38,1780869.62,176,6
2025-01-29 18:04:58,34553,1,1,28.31,99783.69,13.19,2214054.00,176,3,28.52,99770.13,13.21,469079.25,160,6,29.59,99777.89,12.85,2020720.25,160,2,30.04,99766.76,12.32,218756.67,176,9,30.89,99842.99,11.80,5126408.00,176,2,30.59,99856.57,12.14,4350504.50,176,2,30.58,99847.66,12.28,428183.16,176,2,30.50,99835.63,12.39,620982.44,176,2
2025-01-29 18:04:59,35553,1,1,28.26,99782.27,13.18,3100681.25,176,2,28.44,99767.48,13.20,477946.31,160,5,29.52,99779.52,12.86,30825964.00,160,0,29.97,99769.16,12.32,218197.31,176,7,30.74,99841.46,11.76,246746.98,176,8,30.41,99850.77,12.11,218476.64,176,9,30.53,99846.11,12.26,18306146.00,176,8,30.45,99832.81,12.38,27489932.00,176,8
2025-01-29 18:05:00,36553,1,1,28.22,99785.37,13.17,3154409.00,176,2,28.39,99771.53,13.16,484046.31,160,5,29.44,99780.00,12.82,143497.77,176,8,29.90,99765.63,12.29,2178723.50,176,4,30.76,99840.86,11.72,1110629.12,176,5,30.47,99855.80,12.10,932392.44,176,5,30.47,99848.15,12.23,167265.59,176,4,30.41,99842.78,12.34,242884.25,176,4
2025-01-29 18:05:01,37553,1,1,28.21,99785.87,13.13,6400000.00,160,1,28.37,99772.87,13.15,493137.50,160,5,29.44,99778.48,12.80,363830.16,160,6,29.89,99764.42,12.27,6400000.00,160,2,30.78,99837.59,11.71,363830.16,160,1,30.52,99857.66,12.06,4523467.50,176,2,30.54,99846.04,12.19,1111533.25,160,1,30.47,99835.48,12.29,1600000.00,160,1
2025-01-29 18:05:02,38553,1,1,28.14,99785.15,13.10,6400000.00,160,1,28.24,99769.57,13.11,501101.06,160,4,29.39,99780.25,12.75,1350033.00,176,3,29.83,99767.29,12.24,76897624.00,160,0,30.66,99836.55,11.65,363830.16,160,7,30.37,99855.60,12.01,220167.70,176,8,30.46,99843.62,12.11,4785046.50,176,7,30.34,99834.69,12.25,1863512.25,176,6
2025-01-29 18:05:03,39553,1,1,28.10,99781.85,13.06,6400000.00,160,1,28.22,99766.31,13.08,510087.19,160,4,29.37,99779.34,12.71,14492702.00,176,1,29.78,99768.52,12.20,229493.50,176,8,30.78,99842.63,11.61,1600000.00,160,4,30.39,99854.56,11.95,957233.00,176,5,30.44,99844.59,12.06,448729.19,160,3,30.36,99837.17,12.17,799063.63,160,3
2025-01-29 18:05:04,40553,1,1,28.06,99782.32,13.04,110297.29,160,0,28.16,99766.66,13.04,520589.72,160,4,29.30,99779.05,12.69,150588.23,176,9,29.76,99769.24,12.17,363830.16,160,6,30.64,99833.99,11.56,37268128.00,176,0,30.38,99849.65,11.91,596562.75,160,1,30.48,99845.30,12.01,4835891.50,176,9,30.38,99836.44,12.13,6868162.00,176,9
2025-01-29 18:05:05,41553,1,1,28.01,99782.75,13.01,103853.95,160,0,28.11,99766.26,12.99,529883.56,160,4,29.27,99783.50,12.66,150455.48,176,7,29.69,99769.39,12.14,2339234.75,176,4,30.58,99834.80,11.50,363830.16,160,7,30.27,99851.31,11.84,589352.50,160,7,30.30,99844.06,11.95,475947.00,176,5,30.24,99834.80,12.06,681077.50,176,5
2025-01-29 18:05:06,42553,1,1,28.00,99783.31,12.96,98065.51,160,0,28.08,99770.31,12.97,2867343.25,176,3,29.22,99777.90,12.64,1408528.25,176,5,29.70,99768.61,12.11,28127038.00,176,1,30.68,99838.14,11.45,1555640.00,160,4,30.39,99854.69,11.82,1544203.62,160,4,30.41,99846.30,11.88,468114.28,176,2,30.34,99835.46,12.01,670376.44,176,2
2025-01-29 18:05:07,43553,1,1,27.96,99782.47,12.94,94065.77,160,0,28.08,99769.66,12.93,2925714.25,176,3,29.22,99779.19,12.59,1432167.87,176,3,29.67,99768.30,12.07,240319.17,176,9,30.60,99833.75,11.41,38824644.00,176,0,30.35,99850.58,11.77,610978.50,160,1,30.43,99842.31,11.87,20258424.00,176,8,30.34,99832.02,11.97,7165537.00,176,7
2025-01-29 18:05:08,44553,1,1,27.87,99785.55,12.89,92219.02,160,0,27.98,99770.32,12.91,2963820.50,176,3,29.13,99778.58,12.56,15456604.00,176,1,29.60,99772.32,12.06,237807.70,176,7,30.51,99832.98,11.37,364802.28,160,7,30.20,99852.27,11.73,602352.94,160,7,30.31,99852.30,11.80,178459.39,176,4,30.22,99836.65,11.92,259700.73,176,4
2025-01-29 18:05:09,45553,1,1,27.89,99784.32,12.87,92921.96,160,9,27.98,99769.96,12.87,3071040.25,176,3,29.10,99776.09,12.53,156670.75,176,9,29.58,99769.03,12.02,2301770.25,176,5,30.60,99832.10,11.35,369341.75,160,3,30.32,99855.01,11.69,1603131.12,160,4,30.37,99845.37,11.76,1420249.62,176,0,30.29,99834.28,11.89,1927983.00,176,0
2025-01-29 18:05:10,46553,1,1,27.87,99782.41,12.85,91038.41,160,9,27.96,99766.59,12.87,4265556.00,176,2,29.11,99784.19,12.51,155954.92,176,7,29.57,99768.55,12.01,2461538.50,176,3,30.51,99831.84,11.30,278109.72,176,9,30.23,99850.89,11.67,30083084.00,176,0,30.33,99842.34,11.75,1462857.12,176,6,30.25,99834.37,11.85,1994157.75,176,6
2025-01-29 18:05:11,47553,1,1,27.84,99786.56,12.82,90077.41,160,9,27.94,99767.16,12.83,4340132.50,176,2,29.05,99777.35,12.48,1519287.87,176,5,29.55,99767.48,12.00,87967784.00,160,0,30.53,99833.29,11.29,1239709.50,176,6,30.20,99850.27,11.64,614830.37,160,7,30.36,99847.46,11.70,477946.31,160,3,30.26,99835.42,11.79,800000.00,160,3
2025-01-29 18:05:12,48553,1,1,27.79,99785.38,12.81,91233.07,160,8,27.91,99767.50,12.82,4431701.50,176,2,29.01,99776.33,12.46,2257993.50,160,2,29.47,99768.67,11.96,247821.88,176,8,30.55,99836.57,11.25,6131736.50,176,2,30.21,99848.60,11.60,627258.81,160,3,30.34,99845.71,11.66,5249599.50,176,9,30.27,99836.97,11.77,7403524.50,176,9
2025-01-29 18:05:13,49553,1,1,27.75,99788.22,12.78,92418.77,160,8,27.85,99766.92,12.79,4501099.00,176,2,28.98,99779.77,12.44,37686028.00,160,0,29.43,99768.09,11.94,363830.16,160,6,30.42,99835.16,11.20,288207.16,176,9,30.11,99850.11,11.57,240658.05,176,9,30.23,99846.38,11.60,504433.50,176,5,30.17,99834.58,11.73,728307.25,176,5
2025-01-29 18:05:14,50553,1,1,27.80,99788.51,12.77,93328.47,160,7,27.92,99771.63,12.79,6400000.00,160,1,28.98,99780.24,12.42,160955.67,176,8,29.47,99773.29,11.94,2422235.25,176,4,30.47,99837.39,11.18,1279200.50,176,6,30.18,99854.39,11.52,1041974.06,176,6,30.36,99847.71,11.59,1249923.75,160,1,30.32,99837.23,11.71,1600000.00,160,1
