Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
TimeStamp(ms),Label_Tag,HeaterProfile_ID,Sensor1_Temperature(deg C),Sensor1_Pressure(Pa),Sensor1_Humidity(%),Sensor1_GasResistance(ohm),Sensor1_Status,Sensor1_GasIndex,Sensor2_Temperature(deg C),Sensor2_Pressure(Pa),Sensor2_Humidity(%),Sensor2_GasResistance(ohm),Sensor2_Status,Sensor2_GasIndex,Sensor3_Temperature(deg C),Sensor3_Pressure(Pa),Sensor3_Humidity(%),Sensor3_GasResistance(ohm),Sensor3_Status,Sensor3_GasIndex,Sensor4_Temperature(deg C),Sensor4_Pressure(Pa),Sensor4_Humidity(%),Sensor4_GasResistance(ohm),Sensor4_Status,Sensor4_GasIndex,Sensor5_Temperature(deg C),Sensor5_Pressure(Pa),Sensor5_Humidity(%),Sensor5_GasResistance(ohm),Sensor5_Status,Sensor5_GasIndex,Sensor6_Temperature(deg C),Sensor6_Pressure(Pa),Sensor6_Humidity(%),Sensor6_GasResistance(ohm),Sensor6_Status,Sensor6_GasIndex,Sensor7_Temperature(deg C),Sensor7_Pressure(Pa),Sensor7_Humidity(%),Sensor7_GasResistance(ohm),Sensor7_Status,Sensor7_GasIndex,Sensor8_Temperature(deg C),Sensor8_Pressure(Pa),Sensor8_Humidity(%),Sensor8_GasResistance(ohm),Sensor8_Status,Sensor8_GasIndex
8599,1,1,42.18,99696.55,14.80,207581.59,b0,3,42.07,99679.72,14.85,165001.61,b0,3,43.36,99690.15,14.32,135306.55,b0,2,43.43,99663.67,14.10,227960.81,b0,2,43.49,99713.09,13.33,267432.75,b0,1,43.53,99720.07,13.55,231046.94,b0,1,43.13,99721.97,13.77,193244.02,b0,1,43.05,99711.35,13.78,264531.12,b0,1
Unknown command. Available commands: START, STOP, SEC_num (e.g., SEC_5000), GETHEAT
10604,1,1,42.08,99695.50,14.86,194899.13,b0,0,41.98,99676.95,14.94,161565.16,b0,0,43.21,99690.16,14.37,123195.38,b0,3,43.30,99665.83,14.15,194565.84,b0,3,43.39,99715.88,13.36,263103.81,b0,1,43.41,99727.90,13.57,163421.64,b0,2,43.02,99728.13,13.79,149795.20,b0,2,42.92,99716.59,13.80,204595.41,b0,2
11604,1,1,42.04,99695.68,14.89,194012.89,b0,0,41.95,99679.98,14.94,161107.61,b0,0,43.15,99688.37,14.39,119990.63,b0,0,43.26,99670.84,14.15,192264.36,b0,3,43.35,99718.59,13.34,193463.06,b0,2,43.36,99726.80,13.57,163421.64,b0,2,42.95,99729.02,13.79,130445.86,b0,3,42.88,99719.89,13.82,203862.23,b0,2
12604,1,1,41.98,99696.75,14.89,286995.53,b0,1,41.90,99681.96,14.95,247283.27,b0,1,43.09,99692.27,14.40,119402.98,b0,0,43.19,99670.49,14.17,185440.06,b0,0,43.32,99718.90,13.35,191832.14,b0,2,43.30,99728.99,13.57,149271.14,b0,3,42.92,99730.74,13.79,130845.90,b0,3,42.81,99718.63,13.83,179964.84,b0,3
13604,1,1,41.90,99700.89,14.88,285077.94,b0,1,41.82,99680.91,14.95,248362.84,b0,1,43.03,99690.95,14.39,165803.11,b0,1,43.12,99669.76,14.17,182857.14,b0,0,43.24,99718.66,13.35,169592.58,b0,3,43.27,99727.77,13.58,150058.61,b0,3,42.88,99728.39,13.79,128869.88,b0,0,42.79,99714.95,13.84,176612.62,b0,0
14604,1,1,41.84,99700.59,14.88,282482.75,b0,1,41.77,99680.16,14.96,195121.95,b0,2,42.96,99689.71,14.41,165803.11,b0,1,43.05,99667.13,14.17,182466.14,b0,0,43.20,99720.23,13.37,168587.42,b0,3,43.21,99726.13,13.60,149271.14,b0,3,42.84,99726.98,13.79,128772.63,b0,0,42.77,99717.35,13.84,176430.05,b0,0
15604,1,1,41.82,99703.12,14.90,227960.81,b0,2,41.76,99684.68,14.97,194899.13,b0,2,42.91,99691.66,14.44,165481.58,b0,1,43.04,99668.25,14.17,279934.37,b0,1,43.17,99719.20,13.36,168089.30,b0,3,43.17,99724.71,13.61,148491.87,b0,0,42.81,99725.78,13.80,181495.92,b0,1,42.75,99716.63,13.86,260891.72,b0,1
16604,1,1,41.77,99705.18,14.91,226900.06,b0,2,41.69,99683.95,14.98,162953.53,b0,3,42.87,99692.45,14.47,134242.27,b0,2,43.00,99669.85,14.20,279019.06,b0,1,43.14,99718.93,13.37,164842.23,b0,0,43.16,99725.59,13.63,148362.80,b0,0,42.79,99729.05,13.82,182271.27,b0,1,42.74,99719.39,13.87,259898.48,b0,1
17604,1,1,41.69,99703.98,14.92,186861.31,b0,3,41.63,99686.68,15.00,162179.28,b0,3,42.82,99693.94,14.49,134031.41,b0,2,42.94,99671.23,14.22,220880.06,b0,2,43.09,99717.87,13.38,164683.17,b0,0,43.15,99728.26,13.66,230578.70,b0,1,42.74,99729.62,13.81,148880.48,b0,2,42.70,99718.58,13.88,196356.66,b0,2
